WKT;id;keskustyyp;keskusnimi
"POINT (340125.0 7007416.66666667)";148;Kaupunkiseudun ulkopuolinen iso keskus;Vimpeli
"POINT (335656.25 7050906.25)";149;Kaupunkiseudun ulkopuolinen iso keskus;Kaustinen
"POINT (589875.0 7062500.0)";150;Kaupunkiseudun ulkopuolinen iso keskus;Valtimo
"POINT (364458.333333333 7074666.66666666)";151;Kaupunkiseudun ulkopuolinen iso keskus;Toholampi
"POINT (378250.0 7089000.0)";152;Kaupunkiseudun ulkopuolinen iso keskus;Sievi
"POINT (369000 7118250)";153;Kaupunkiseudun ulkopuolinen iso keskus;Alavieska
"POINT (540250.0 7142750.0)";154;Kaupunkiseudun ulkopuolinen iso keskus;Paltamo
"POINT (368225.0 7151675.0)";155;Kaupunkiseudun ulkopuolinen iso keskus;Pyhäjoki
"POINT (472250.0 7182000.0)";156;Kaupunkiseudun ulkopuolinen iso keskus;Utajärvi
"POINT (590375.0 7196852.27272727)";157;Kaupunkiseudun ulkopuolinen iso keskus;Suomussalmi
"POINT (552375.0 7332875.0)";158;Kaupunkiseudun ulkopuolinen iso keskus;Posio
"POINT (573458.333333333 7413708.33333333)";159;Kaupunkiseudun ulkopuolinen iso keskus;Salla
"POINT (338843.75 6989593.75)";160;Kaupunkiseudun ulkopuolinen iso keskus;Alajärvi
"POINT (274000.0 6638850.0)";161;Kaupunkiseudun ulkopuolinen iso keskus;Hanko
"POINT (274125 6963375)";162;Kaupunkiseudun ulkopuolinen iso keskus;Ilmajoki
"POINT (404833.333333333 6860375.0)";163;Kaupunkiseudun ulkopuolinen iso keskus;Jämsä
"POINT (352193.181818182 7129306.81818182)";164;Kaupunkiseudun ulkopuolinen iso keskus;Kalajoki
"POINT (257397.727272727 6861034.09090909)";165;Kaupunkiseudun ulkopuolinen iso keskus;Kankaanpää
"POINT (314261.363636364 6664034.09090909)";166;Kaupunkiseudun ulkopuolinen iso keskus;Karjaa
"POINT (346925.0 6714225.0)";167;Kaupunkiseudun ulkopuolinen iso keskus;Karkkila
"POINT (251221.153846154 6931009.61538462)";168;Kaupunkiseudun ulkopuolinen iso keskus;Kauhajoki
"POINT (380825.0 6905225.0)";169;Kaupunkiseudun ulkopuolinen iso keskus;Keuruu
"POINT (663979.166666667 6889041.66666667)";170;Kaupunkiseudun ulkopuolinen iso keskus;Kitee
"POINT (622656.25 7113687.5)";171;Kaupunkiseudun ulkopuolinen iso keskus;Kuhmo
"POINT (599343.75 7317843.75)";172;Kaupunkiseudun ulkopuolinen iso keskus;Kuusamo
"POINT (247250.0 6992875.0)";173;Kaupunkiseudun ulkopuolinen iso keskus;Laihia
"POINT (297803.571428571 6988500.0)";174;Kaupunkiseudun ulkopuolinen iso keskus;Lapua
"POINT (445950.0 6920700.0)";175;Kaupunkiseudun ulkopuolinen iso keskus;Laukaa
"POINT (268825.0 6790250.0)";176;Kaupunkiseudun ulkopuolinen iso keskus;Lauttakylä
"POINT (651562.5 7024656.25)";177;Kaupunkiseudun ulkopuolinen iso keskus;Lieksa
"POINT (285900.0 6752675.0)";178;Kaupunkiseudun ulkopuolinen iso keskus;Loimaa
"POINT (360500.0 6734250.0)";179;Kaupunkiseudun ulkopuolinen iso keskus;Loppi
"POINT (457437.5 6702500.0)";180;Kaupunkiseudun ulkopuolinen iso keskus;Loviisa
"POINT (107763.888888889 6683578.7037037)";181;Kaupunkiseudun ulkopuolinen iso keskus;Maarianhamina
"POINT (452160.714285714 7187446.42857143)";182;Kaupunkiseudun ulkopuolinen iso keskus;Muhos
"POINT (408125.0 6723375.0)";183;Kaupunkiseudun ulkopuolinen iso keskus;Mäntsälä
"POINT (375602.272727273 6879784.09090909)";184;Kaupunkiseudun ulkopuolinen iso keskus;Mänttä
"POINT (400187.5 7090750.0)";185;Kaupunkiseudun ulkopuolinen iso keskus;Nivala
"POINT (606375.0 7047875.0)";186;Kaupunkiseudun ulkopuolinen iso keskus;Nurmes
"POINT (431062.5 6741729.16666667)";187;Kaupunkiseudun ulkopuolinen iso keskus;Orimattila
"POINT (360125 6841125)";188;Kaupunkiseudun ulkopuolinen iso keskus;Orivesi
"POINT (394250.0 7128625.0)";189;Kaupunkiseudun ulkopuolinen iso keskus;Oulainen
"POINT (507979.166666667 6907604.16666667)";190;Kaupunkiseudun ulkopuolinen iso keskus;Pieksämäki
"POINT (410875.0 6954000.0)";191;Kaupunkiseudun ulkopuolinen iso keskus;Saarijärvi
"POINT (533425.0 6994025.0)";192;Kaupunkiseudun ulkopuolinen iso keskus;Siilinjärvi
"POINT (309375.0 6726625.0)";193;Kaupunkiseudun ulkopuolinen iso keskus;Somero
"POINT (506187.5 6943843.75)";194;Kaupunkiseudun ulkopuolinen iso keskus;Suonenjoki
"POINT (301333.333333333 6654138.88888889)";195;Kaupunkiseudun ulkopuolinen iso keskus;Tammisaari
"POINT (331534.090909091 6785397.72727273)";196;Kaupunkiseudun ulkopuolinen iso keskus;Toijala
"POINT (281775.0 6935825.0)";219;Kaupunkiseudun ulkopuolinen iso keskus;Jalasjärvi
"POINT (196071.428571429 6753535.71428572)";197;Kaupunkiseudun ulkopuolinen iso keskus;Uusikaupunki
"POINT (281352.272727273 6807556.81818182)";198;Kaupunkiseudun ulkopuolinen iso keskus;Vammala
"POINT (379750.0 7107375.0)";199;Kaupunkiseudun ulkopuolinen iso keskus;Ylivieska
"POINT (434597.222222222 6942041.66666667)";200;Kaupunkiseudun ulkopuolinen iso keskus;Äänekoski
"POINT (226475.0 6737325.0)";201;Kaupunkiseudun ulkopuolinen iso keskus;Mynämäki
"POINT (406225.0 6749425.0)";202;Kaupunkiseudun ulkopuolinen iso keskus;Kärkölä
"POINT (464125.0 6750625.0)";203;Kaupunkiseudun ulkopuolinen iso keskus;Iitti
"POINT (530875.0 6754250.0)";204;Kaupunkiseudun ulkopuolinen iso keskus;Luumäki
"POINT (314000.0 6776750.0)";205;Kaupunkiseudun ulkopuolinen iso keskus;Urjala
"POINT (493541.666666667 6809208.33333333)";206;Kaupunkiseudun ulkopuolinen iso keskus;Mäntyharju
"POINT (430075.0 6819475.0)";207;Kaupunkiseudun ulkopuolinen iso keskus;Sysmä
"POINT (447833.333333333 6827708.33333333)";208;Kaupunkiseudun ulkopuolinen iso keskus;Hartola
"POINT (298553.571428572 6839910.71428571)";209;Kaupunkiseudun ulkopuolinen iso keskus;Hämeenkyrö
"POINT (545041.666666667 6863097.22222222)";210;Kaupunkiseudun ulkopuolinen iso keskus;Juva
"POINT (481075.0 6873100.0)";211;Kaupunkiseudun ulkopuolinen iso keskus;Kangasniemi
"POINT (346425.0 6875975.0)";212;Kaupunkiseudun ulkopuolinen iso keskus;Ruovesi
"POINT (291875.0 6881500.0)";213;Kaupunkiseudun ulkopuolinen iso keskus;Parkano
"POINT (568000 6882250)";214;Kaupunkiseudun ulkopuolinen iso keskus;Rantasalmi
"POINT (543125.0 6894500.0)";215;Kaupunkiseudun ulkopuolinen iso keskus;Joroinen
"POINT (332402.777777778 6905013.88888889)";216;Kaupunkiseudun ulkopuolinen iso keskus;Virrat
"POINT (208343.75 6917406.25)";217;Kaupunkiseudun ulkopuolinen iso keskus;Kristiinankaupunki
"POINT (584375.0 6922750.0)";218;Kaupunkiseudun ulkopuolinen iso keskus;Heinävesi
"POINT (349416.666666666 6938833.33333333)";220;Kaupunkiseudun ulkopuolinen iso keskus;Ähtäri
"POINT (229446.428571428 6939339.28571428)";221;Kaupunkiseudun ulkopuolinen iso keskus;Teuva
"POINT (326281.25 6944093.75)";222;Kaupunkiseudun ulkopuolinen iso keskus;Alavus
"POINT (263958.333333334 6951375.0)";223;Kaupunkiseudun ulkopuolinen iso keskus;Kurikka
"POINT (701343.75 6955156.25)";224;Kaupunkiseudun ulkopuolinen iso keskus;Ilomantsi
"POINT (603093.75 6956593.75)";225;Kaupunkiseudun ulkopuolinen iso keskus;Outokumpu
"POINT (442343.75 6994406.25)";226;Kaupunkiseudun ulkopuolinen iso keskus;Viitasaari
"POINT (487750.0 7011600.0)";227;Kaupunkiseudun ulkopuolinen iso keskus;Pielavesi
"POINT (519656.25 7026343.75)";228;Kaupunkiseudun ulkopuolinen iso keskus;Lapinlahti
"POINT (428656.25 7027656.25)";229;Kaupunkiseudun ulkopuolinen iso keskus;Pihtipudas
"POINT (277875.0 7051625.0)";230;Kaupunkiseudun ulkopuolinen iso keskus;Uusikaarlepyy
"POINT (481147.727272727 7058284.09090909)";231;Kaupunkiseudun ulkopuolinen iso keskus;Kiuruvesi
"POINT (449343.75 7061906.25)";232;Kaupunkiseudun ulkopuolinen iso keskus;Pyhäjärvi
"POINT (417062.5 7070229.16666667)";233;Kaupunkiseudun ulkopuolinen iso keskus;Haapajärvi
"POINT (348708.333333333 7089569.44444444)";234;Kaupunkiseudun ulkopuolinen iso keskus;Kannus
"POINT (567500.0 7112375.0)";235;Kaupunkiseudun ulkopuolinen iso keskus;Sotkamo
"POINT (420437.5 7113468.75)";236;Kaupunkiseudun ulkopuolinen iso keskus;Haapavesi
"POINT (424625.0 7188196.42857143)";237;Kaupunkiseudun ulkopuolinen iso keskus;Liminka
"POINT (499875.0 7248625.0)";238;Kaupunkiseudun ulkopuolinen iso keskus;Pudasjärvi
"POINT (518946.428571429 7399625.0)";239;Kaupunkiseudun ulkopuolinen iso keskus;Kemijärvi
"POINT (411375.0 7505625.0)";240;Kaupunkiseudun ulkopuolinen iso keskus;Kittilä
"POINT (521971.153846154 7616259.61538461)";241;Kaupunkiseudun ulkopuolinen iso keskus;Ivalo
"POINT (448203.947368421 6785901.31578947)";242;Kaupunkiseudun keskusta;Heinola
"POINT (249750.0 6662250.0)";243;Kaupunkiseudun ulkopuolinen pieni keskus;Taalintehdas
"POINT (285125.0 6680500.0)";244;Kaupunkiseudun ulkopuolinen pieni keskus;Perniö
