mun;scenario;year;sahko_koti_as
562;kasvu;2026;664
562;kasvu;2027;659
562;kasvu;2028;654
562;kasvu;2029;649
562;kasvu;2030;644
562;kasvu;2031;639
562;kasvu;2032;634
562;kasvu;2033;629
562;kasvu;2034;623
562;kasvu;2035;618
562;kasvu;2036;613
562;kasvu;2037;608
562;kasvu;2038;603
562;kasvu;2039;598
562;kasvu;2040;592
562;kasvu;2041;588
562;kasvu;2042;583
562;kasvu;2043;578
562;kasvu;2044;574
562;kasvu;2045;569
562;kasvu;2046;564
562;kasvu;2047;559
562;kasvu;2048;555
562;kasvu;2049;550
562;kasvu;2050;545
562;muutos;2017;700
562;muutos;2018;700
562;muutos;2019;700
562;muutos;2020;692
562;muutos;2021;683
562;muutos;2022;675
562;muutos;2023;667
562;muutos;2024;659
562;muutos;2025;650
562;muutos;2026;642
562;muutos;2027;634
562;muutos;2028;626
562;muutos;2029;617
562;muutos;2030;609
562;muutos;2031;601
562;muutos;2032;593
562;muutos;2033;585
562;muutos;2034;577
562;muutos;2035;569
562;muutos;2036;561
562;muutos;2037;554
562;muutos;2038;546
562;muutos;2039;538
562;muutos;2040;530
562;muutos;2041;523
562;muutos;2042;516
562;muutos;2043;509
562;muutos;2044;502
562;muutos;2045;495
562;muutos;2046;489
562;muutos;2047;482
562;muutos;2048;475
562;muutos;2049;468
562;muutos;2050;461
562;saasto;2017;700
562;saasto;2018;700
562;saasto;2019;700
562;saasto;2020;691
562;saasto;2021;682
562;saasto;2022;673
562;saasto;2023;664
562;saasto;2024;655
562;saasto;2025;647
562;saasto;2026;638
562;saasto;2027;629
562;saasto;2028;620
562;saasto;2029;611
562;saasto;2030;602
562;saasto;2031;594
562;saasto;2032;585
562;saasto;2033;577
562;saasto;2034;568
562;saasto;2035;560
562;saasto;2036;551
562;saasto;2037;543
562;saasto;2038;535
562;saasto;2039;526
562;saasto;2040;518
562;saasto;2041;510
562;saasto;2042;503
562;saasto;2043;496
562;saasto;2044;489
562;saasto;2045;481
562;saasto;2046;474
562;saasto;2047;467
562;saasto;2048;460
562;saasto;2049;452
562;saasto;2050;445
562;pysahdys;2017;700
562;pysahdys;2018;700
562;pysahdys;2019;700
562;pysahdys;2020;697
562;pysahdys;2021;695
562;pysahdys;2022;692
562;pysahdys;2023;690
562;pysahdys;2024;687
562;pysahdys;2025;685
562;pysahdys;2026;682
562;pysahdys;2027;680
562;pysahdys;2028;677
562;pysahdys;2029;675
562;pysahdys;2030;672
562;pysahdys;2031;663
562;pysahdys;2032;655
562;pysahdys;2033;646
562;pysahdys;2034;637
562;pysahdys;2035;628
562;pysahdys;2036;620
562;pysahdys;2037;611
562;pysahdys;2038;602
562;pysahdys;2039;593
562;pysahdys;2040;585
562;pysahdys;2041;576
562;pysahdys;2042;568
562;pysahdys;2043;560
562;pysahdys;2044;552
562;pysahdys;2045;544
562;pysahdys;2046;536
562;pysahdys;2047;527
562;pysahdys;2048;519
562;pysahdys;2049;511
562;pysahdys;2050;503
536;wem;2017;650
536;wem;2018;650
536;wem;2019;650
536;wem;2020;648
536;wem;2021;645
536;wem;2022;643
536;wem;2023;641
536;wem;2024;638
536;wem;2025;636
536;wem;2026;633
536;wem;2027;631
536;wem;2028;629
536;wem;2029;626
536;wem;2030;624
536;wem;2031;622
536;wem;2032;619
536;wem;2033;617
536;wem;2034;614
536;wem;2035;612
536;wem;2036;609
536;wem;2037;607
536;wem;2038;604
536;wem;2039;602
536;wem;2040;599
536;wem;2041;597
536;wem;2042;594
536;wem;2043;592
536;wem;2044;589
536;wem;2045;587
536;wem;2046;585
536;wem;2047;582
536;wem;2048;580
536;wem;2049;577
536;wem;2050;575
536;eu80;2017;650
536;eu80;2018;650
536;eu80;2019;650
536;eu80;2020;645
536;eu80;2021;641
536;eu80;2022;636
536;eu80;2023;631
536;eu80;2024;626
536;eu80;2025;622
536;eu80;2026;617
536;eu80;2027;612
536;eu80;2028;607
536;eu80;2029;603
536;eu80;2030;598
536;eu80;2031;593
536;eu80;2032;588
536;eu80;2033;584
536;eu80;2034;579
536;eu80;2035;574
536;eu80;2036;569
536;eu80;2037;565
536;eu80;2038;560
536;eu80;2039;555
536;eu80;2040;550
536;eu80;2041;546
536;eu80;2042;541
536;eu80;2043;537
536;eu80;2044;533
536;eu80;2045;528
536;eu80;2046;524
536;eu80;2047;519
536;eu80;2048;515
536;eu80;2049;511
536;eu80;2050;506
536;kasvu;2017;650
536;kasvu;2018;650
536;kasvu;2019;650
536;kasvu;2020;645
536;kasvu;2021;641
536;kasvu;2022;636
536;kasvu;2023;631
536;kasvu;2024;626
536;kasvu;2025;622
536;kasvu;2026;617
536;kasvu;2027;612
536;kasvu;2028;607
536;kasvu;2029;603
536;kasvu;2030;598
536;kasvu;2031;593
536;kasvu;2032;588
536;kasvu;2033;584
536;kasvu;2034;579
536;kasvu;2035;574
536;kasvu;2036;569
536;kasvu;2037;565
536;kasvu;2038;560
536;kasvu;2039;555
536;kasvu;2040;550
536;kasvu;2041;546
536;kasvu;2042;541
536;kasvu;2043;537
536;kasvu;2044;533
536;kasvu;2045;528
536;kasvu;2046;524
536;kasvu;2047;519
536;kasvu;2048;515
536;kasvu;2049;511
536;kasvu;2050;506
536;muutos;2017;650
536;muutos;2018;650
536;muutos;2019;650
536;muutos;2020;642
536;muutos;2021;635
536;muutos;2022;627
536;muutos;2023;619
536;muutos;2024;612
536;muutos;2025;604
536;muutos;2026;596
536;muutos;2027;589
536;muutos;2028;581
536;muutos;2029;573
536;muutos;2030;566
536;muutos;2031;558
536;muutos;2032;551
536;muutos;2033;543
536;muutos;2034;536
536;muutos;2035;529
536;muutos;2036;521
536;muutos;2037;514
536;muutos;2038;507
536;muutos;2039;499
536;muutos;2040;492
536;muutos;2041;486
536;muutos;2042;479
536;muutos;2043;473
536;muutos;2044;466
536;muutos;2045;460
536;muutos;2046;454
536;muutos;2047;447
536;muutos;2048;441
536;muutos;2049;434
536;muutos;2050;428
536;saasto;2017;650
536;saasto;2018;650
536;saasto;2019;650
536;saasto;2020;642
536;saasto;2021;633
536;saasto;2022;625
536;saasto;2023;617
536;saasto;2024;609
536;saasto;2025;600
536;saasto;2026;592
