scenario;rakennus_tyyppi;lammitysmuoto;kaukolampo;kevyt_oljy;raskas_oljy;kaasu;sahko;puu;turve;hiili;maalampo;muu_lammitys
wemp;kokoon;raskas_oljy;0.0091;0.0000;-0.0455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0364;0.0000
wemp;kokoon;kaasu;0.0059;0.0000;0.0000;-0.0297;0.0000;0.0000;0.0000;0.0000;0.0238;0.0000
wemp;kokoon;sahko;0.0009;0.0000;0.0000;0.0000;-0.0094;0.0000;0.0000;0.0000;0.0084;0.0000
wemp;kokoon;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;kokoon;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0455;0.0000;0.0455;0.0000
wemp;kokoon;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0455;0.0455;0.0000
wemp;kokoon;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;kokoon;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;opetus;kaukolampo;-0.0031;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0031;0.0000
wemp;opetus;kevyt_oljy;0.0056;-0.0281;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0225;0.0000
wemp;opetus;raskas_oljy;0.0056;0.0000;-0.0281;0.0000;0.0000;0.0000;0.0000;0.0000;0.0225;0.0000
wemp;opetus;kaasu;0.0053;0.0000;0.0000;-0.0266;0.0000;0.0000;0.0000;0.0000;0.0213;0.0000
wemp;opetus;sahko;0.0009;0.0000;0.0000;0.0000;-0.0094;0.0000;0.0000;0.0000;0.0084;0.0000
wemp;opetus;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;opetus;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0313;0.0000;0.0313;0.0000
wemp;opetus;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0313;0.0313;0.0000
wemp;opetus;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;opetus;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;teoll;kaukolampo;-0.0031;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0031;0.0000
wemp;teoll;kevyt_oljy;0.0056;-0.0281;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0225;0.0000
wemp;teoll;raskas_oljy;0.0056;0.0000;-0.0281;0.0000;0.0000;0.0000;0.0000;0.0000;0.0225;0.0000
wemp;teoll;kaasu;0.0053;0.0000;0.0000;-0.0266;0.0000;0.0000;0.0000;0.0000;0.0213;0.0000
wemp;teoll;sahko;0.0009;0.0000;0.0000;0.0000;-0.0094;0.0000;0.0000;0.0000;0.0084;0.0000
wemp;teoll;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;teoll;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0313;0.0000;0.0313;0.0000
wemp;teoll;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0313;0.0313;0.0000
wemp;teoll;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;teoll;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;varast;kaukolampo;-0.0031;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0031;0.0000
wemp;varast;kevyt_oljy;0.0056;-0.0281;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0225;0.0000
wemp;varast;raskas_oljy;0.0056;0.0000;-0.0281;0.0000;0.0000;0.0000;0.0000;0.0000;0.0225;0.0000
wemp;varast;kaasu;0.0053;0.0000;0.0000;-0.0266;0.0000;0.0000;0.0000;0.0000;0.0213;0.0000
wemp;varast;sahko;0.0009;0.0000;0.0000;0.0000;-0.0094;0.0000;0.0000;0.0000;0.0084;0.0000
wemp;varast;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;varast;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0313;0.0000;0.0313;0.0000
wemp;varast;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0313;0.0313;0.0000
wemp;varast;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;varast;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;muut;kaukolampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;muut;kevyt_oljy;0.0059;-0.0297;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0238;0.0000
wemp;muut;raskas_oljy;0.0059;0.0000;-0.0297;0.0000;0.0000;0.0000;0.0000;0.0000;0.0238;0.0000
wemp;muut;kaasu;0.0059;0.0000;0.0000;-0.0297;0.0000;0.0000;0.0000;0.0000;0.0238;0.0000
wemp;muut;sahko;0.0013;0.0000;0.0000;0.0000;-0.0125;0.0000;0.0000;0.0000;0.0113;0.0000
wemp;muut;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
