mun;scenario;year;gco2kwh
562;weml;2046;17
562;weml;2047;17
562;weml;2048;17
562;weml;2049;17
562;weml;2050;17
604;wemp;2018;137
604;wemp;2019;138
604;wemp;2020;140
604;wemp;2021;131
604;wemp;2022;122
604;wemp;2023;113
604;wemp;2024;103
604;wemp;2025;94
604;wemp;2026;83
604;wemp;2027;71
604;wemp;2028;61
604;wemp;2029;51
604;wemp;2030;41
604;wemp;2031;39
604;wemp;2032;37
604;wemp;2033;35
604;wemp;2034;33
604;wemp;2035;31
604;wemp;2036;28
604;wemp;2037;25
604;wemp;2038;23
604;wemp;2039;21
604;wemp;2040;18
604;wemp;2041;18
604;wemp;2042;18
604;wemp;2043;18
604;wemp;2044;18
604;wemp;2045;18
604;wemp;2046;18
604;wemp;2047;18
604;wemp;2048;18
604;wemp;2049;18
604;wemp;2050;18
604;wemh;2018;137
604;wemh;2019;138
604;wemh;2020;140
604;wemh;2021;131
604;wemh;2022;122
604;wemh;2023;113
604;wemh;2024;103
604;wemh;2025;94
604;wemh;2026;83
604;wemh;2027;71
604;wemh;2028;61
604;wemh;2029;51
604;wemh;2030;41
604;wemh;2031;39
604;wemh;2032;37
604;wemh;2033;35
604;wemh;2034;33
604;wemh;2035;31
604;wemh;2036;28
604;wemh;2037;25
604;wemh;2038;23
604;wemh;2039;21
604;wemh;2040;18
604;wemh;2041;18
604;wemh;2042;18
604;wemh;2043;18
604;wemh;2044;18
604;wemh;2045;18
604;wemh;2046;18
604;wemh;2047;18
604;wemh;2048;18
604;wemh;2049;18
604;wemh;2050;18
604;weml;2018;137
604;weml;2019;138
604;weml;2020;140
604;weml;2021;131
604;weml;2022;122
604;weml;2023;113
604;weml;2024;103
604;weml;2025;94
604;weml;2026;83
604;weml;2027;71
604;weml;2028;61
604;weml;2029;51
604;weml;2030;41
604;weml;2031;39
604;weml;2032;37
604;weml;2033;35
604;weml;2034;33
604;weml;2035;31
604;weml;2036;28
604;weml;2037;25
604;weml;2038;23
604;weml;2039;21
604;weml;2040;18
604;weml;2041;18
604;weml;2042;18
604;weml;2043;18
604;weml;2044;18
604;weml;2045;18
604;weml;2046;18
604;weml;2047;18
604;weml;2048;18
604;weml;2049;18
604;weml;2050;18
837;wemp;2018;137
837;wemp;2019;138
837;wemp;2020;140
837;wemp;2021;131
837;wemp;2022;122
837;wemp;2023;113
837;wemp;2024;103
837;wemp;2025;94
837;wemp;2026;83
837;wemp;2027;71
837;wemp;2028;61
837;wemp;2029;51
837;wemp;2030;41
837;wemp;2031;39
837;wemp;2032;37
837;wemp;2033;35
837;wemp;2034;33
837;wemp;2035;31
837;wemp;2036;28
837;wemp;2037;25
837;wemp;2038;23
837;wemp;2039;21
837;wemp;2040;18
837;wemp;2041;18
837;wemp;2042;18
837;wemp;2043;18
837;wemp;2044;18
837;wemp;2045;18
837;wemp;2046;18
837;wemp;2047;18
837;wemp;2048;18
837;wemp;2049;18
837;wemp;2050;18
837;wemh;2018;137
837;wemh;2019;138
837;wemh;2020;140
837;wemh;2021;131
837;wemh;2022;122
837;wemh;2023;113
837;wemh;2024;103
837;wemh;2025;94
837;wemh;2026;83
837;wemh;2027;71
837;wemh;2028;61
837;wemh;2029;51
837;wemh;2030;41
837;wemh;2031;39
837;wemh;2032;37
837;wemh;2033;35
837;wemh;2034;33
837;wemh;2035;31
837;wemh;2036;28
837;wemh;2037;25
837;wemh;2038;23
837;wemh;2039;21
837;wemh;2040;18
837;wemh;2041;18
837;wemh;2042;18
837;wemh;2043;18
837;wemh;2044;18
837;wemh;2045;18
837;wemh;2046;18
837;wemh;2047;18
837;wemh;2048;18
837;wemh;2049;18
837;wemh;2050;18
837;weml;2018;137
837;weml;2019;138
837;weml;2020;140
837;weml;2021;131
837;weml;2022;122
837;weml;2023;113
837;weml;2024;103
837;weml;2025;94
837;weml;2026;83
837;weml;2027;71
837;weml;2028;61
837;weml;2029;51
837;weml;2030;41
837;weml;2031;39
837;weml;2032;37
837;weml;2033;35
837;weml;2034;33
837;weml;2035;31
837;weml;2036;28
837;weml;2037;25
837;weml;2038;23
837;weml;2039;21
837;weml;2040;18
837;weml;2041;18
837;weml;2042;18
837;weml;2043;18
837;weml;2044;18
837;weml;2045;18
837;weml;2046;18
837;weml;2047;18
837;weml;2048;18
837;weml;2049;18
837;weml;2050;18
922;wemp;2018;16
922;wemp;2019;16
922;wemp;2020;16
922;wemp;2021;16
922;wemp;2022;16
922;wemp;2023;16
922;wemp;2024;16
922;wemp;2025;15
922;wemp;2026;15
922;wemp;2027;15
922;wemp;2028;14
922;wemp;2029;14
922;wemp;2030;14
922;wemp;2031;14
922;wemp;2032;14
922;wemp;2033;14
922;wemp;2034;14
922;wemp;2035;14
922;wemp;2036;14
922;wemp;2037;14
922;wemp;2038;14
922;wemp;2039;14
922;wemp;2040;14
922;wemp;2041;14
922;wemp;2042;14
922;wemp;2043;14
922;wemp;2044;14
922;wemp;2045;14
922;wemp;2046;14
922;wemp;2047;14
922;wemp;2048;14
922;wemp;2049;14
922;wemp;2050;14
922;wemh;2018;16
922;wemh;2019;16
922;wemh;2020;16
922;wemh;2021;16
922;wemh;2022;16
922;wemh;2023;16
922;wemh;2024;16
922;wemh;2025;15
922;wemh;2026;15
922;wemh;2027;15
922;wemh;2028;14
922;wemh;2029;14
922;wemh;2030;14
922;wemh;2031;14
922;wemh;2032;14
922;wemh;2033;14
922;wemh;2034;14
922;wemh;2035;14
922;wemh;2036;14
922;wemh;2037;14
922;wemh;2038;14
922;wemh;2039;14
922;wemh;2040;14
922;wemh;2041;14
922;wemh;2042;14
922;wemh;2043;14
922;wemh;2044;14
922;wemh;2045;14
922;wemh;2046;14
922;wemh;2047;14
922;wemh;2048;14
922;wemh;2049;14
922;wemh;2050;14
922;weml;2018;16
922;weml;2019;16
922;weml;2020;16
922;weml;2021;16
922;weml;2022;16
922;weml;2023;16
922;weml;2024;16
922;weml;2025;15
922;weml;2026;15
922;weml;2027;15
922;weml;2028;14
922;weml;2029;14
922;weml;2030;14
922;weml;2031;14
922;weml;2032;14
922;weml;2033;14
922;weml;2034;14
922;weml;2035;14
922;weml;2036;14
922;weml;2037;14
922;weml;2038;14
922;weml;2039;14
922;weml;2040;14
922;weml;2041;14
922;weml;2042;14
922;weml;2043;14
922;weml;2044;14
922;weml;2045;14
922;weml;2046;14
922;weml;2047;14
922;weml;2048;14
922;weml;2049;14
922;weml;2050;14
980;wemp;2018;137
980;wemp;2019;138
980;wemp;2020;140
980;wemp;2021;131
980;wemp;2022;122
980;wemp;2023;113
980;wemp;2024;103
980;wemp;2025;94
980;wemp;2026;83
980;wemp;2027;71
980;wemp;2028;61
980;wemp;2029;51
980;wemp;2030;41
980;wemp;2031;39
980;wemp;2032;37
980;wemp;2033;35
980;wemp;2034;33
980;wemp;2035;31
980;wemp;2036;28
980;wemp;2037;25
980;wemp;2038;23
980;wemp;2039;21
980;wemp;2040;18
980;wemp;2041;18
980;wemp;2042;18
980;wemp;2043;18
980;wemp;2044;18
980;wemp;2045;18
980;wemp;2046;18
980;wemp;2047;18
980;wemp;2048;18
980;wemp;2049;18
980;wemp;2050;18
980;wemh;2018;137
980;wemh;2019;138
980;wemh;2020;140
980;wemh;2021;131
980;wemh;2022;122
980;wemh;2023;113
980;wemh;2024;103
980;wemh;2025;94
980;wemh;2026;83
980;wemh;2027;71
980;wemh;2028;61
980;wemh;2029;51
980;wemh;2030;41
980;wemh;2031;39
980;wemh;2032;37
980;wemh;2033;35
980;wemh;2034;33
980;wemh;2035;31
980;wemh;2036;28
980;wemh;2037;25
980;wemh;2038;23
980;wemh;2039;21
980;wemh;2040;18
980;wemh;2041;18
980;wemh;2042;18
980;wemh;2043;18
980;wemh;2044;18
980;wemh;2045;18
980;wemh;2046;18
980;wemh;2047;18
980;wemh;2048;18
980;wemh;2049;18
980;wemh;2050;18
980;weml;2018;137
980;weml;2019;138
980;weml;2020;140
980;weml;2021;131
980;weml;2022;122
980;weml;2023;113
980;weml;2024;103
980;weml;2025;94
980;weml;2026;83
980;weml;2027;71
980;weml;2028;61
980;weml;2029;51
980;weml;2030;41
980;weml;2031;39
980;weml;2032;37
980;weml;2033;35
