vuosi;kunta;xyind;v_yht;v_0_6;v_7_14;v_15_17;v_18_29;v_30_49;v_50_64;v_65_74;v_75
2019;790;2851256830375;2;0;0;0;0;0;0;2;0
2019;790;2853756830375;3;1;1;0;0;1;0;0;0
2019;790;2886256830375;1;0;0;0;0;0;0;1;0
2019;790;2893756830375;3;0;0;1;0;2;0;0;0
2019;790;2641256830625;4;2;1;0;0;1;0;0;0
2019;790;2651256830625;2;0;0;0;0;0;0;0;2
2019;790;2736256830625;3;0;0;0;1;2;0;0;0
2019;790;2738756830625;2;0;0;0;0;0;0;1;1
2019;790;2741256830625;2;0;0;0;0;1;0;0;1
2019;790;2746256830625;3;0;0;0;0;0;1;1;1
2019;790;2756256830625;5;2;1;0;0;2;0;0;0
2019;790;2873756830625;5;0;3;0;0;2;0;0;0
2019;635;3631256805625;2;0;0;0;0;0;2;0;0
2019;635;3648756805625;2;0;0;0;0;0;0;1;1
2019;635;3683756805625;1;0;0;0;0;0;0;1;0
2019;635;3691256805625;1;0;0;0;0;1;0;0;0
2019;635;3731256805625;1;0;0;0;0;0;0;0;1
2019;635;3736256805625;7;0;0;0;1;0;2;2;2
2019;635;3738756805625;13;0;4;1;0;3;2;3;0
2019;635;3741256805625;6;0;0;0;0;0;2;0;4
2019;635;3743756805625;8;1;2;0;0;2;2;0;1
2019;635;3746256805625;27;0;3;0;3;5;6;5;5
2019;635;3748756805625;25;0;0;0;1;4;9;4;7
2019;635;3751256805625;11;0;0;2;0;4;4;1;0
2019;635;3793756805625;1;0;0;0;0;1;0;0;0
2019;635;3463756805875;3;0;0;0;0;0;0;1;2
2019;635;3501256805875;2;0;1;0;0;1;0;0;0
2019;635;3511256805875;2;0;0;0;1;1;0;0;0
2019;635;3526256805875;4;0;0;0;0;2;2;0;0
2019;635;3528756805875;12;1;4;0;0;6;1;0;0
2019;635;3531256805875;13;1;3;0;2;2;4;0;1
2019;635;3536256805875;3;0;1;0;0;1;1;0;0
2019;635;3541256805875;2;0;0;0;0;1;0;1;0
2019;635;3691256805875;2;0;0;0;0;0;2;0;0
2019;635;3746256805875;43;0;0;0;2;2;12;7;20
2019;635;3753756805875;5;0;0;0;0;1;1;1;2
2019;635;3761256805875;1;0;0;0;0;0;0;0;1
2019;635;3793756805875;2;0;0;0;0;0;0;0;2
2019;635;3803756805875;1;0;0;0;0;0;0;0;1
2019;635;3806256805875;2;0;0;0;0;0;0;2;0
2019;635;3461256806125;6;1;1;0;0;2;0;2;0
2019;635;3463756806125;1;0;0;0;0;0;1;0;0
2019;635;3491256806125;2;0;0;0;0;0;0;0;2
2019;635;3498756806125;2;0;0;0;0;0;0;1;1
2019;790;2881256830625;2;0;0;0;0;0;0;1;1
2019;790;2888756830625;2;0;0;0;0;0;0;2;0
2019;790;2666256830875;1;0;0;0;0;0;0;1;0
2019;790;2681256830875;2;0;0;0;0;0;0;2;0
2019;790;2738756830875;2;0;0;0;1;0;0;1;0
2019;790;2743756830875;4;0;0;0;2;0;2;0;0
2019;790;2753756830875;3;0;0;0;0;1;1;1;0
2019;790;2758756830875;8;0;1;2;0;2;3;0;0
2019;790;2763756830875;6;0;1;1;1;2;0;1;0
2019;790;2766256830875;1;0;0;0;0;1;0;0;0
2019;790;2853756830875;11;2;1;0;0;4;2;2;0
2019;790;2856256830875;16;3;2;0;2;2;6;1;0
2019;790;2873756830875;2;0;0;0;0;0;0;0;2
2019;790;2886256830875;6;1;0;0;2;0;3;0;0
2019;790;2888756830875;4;0;0;0;1;2;0;1;0
2019;790;2896256830875;1;0;0;0;0;0;0;0;1
2019;790;2666256831125;2;0;0;1;0;1;0;0;0
