mun;scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
980;wem;2046;pauto;0.001;0;0.533;0.041;0.079;0;0.144;0.017;0
980;wem;2046;kauto;0;0;0.693;0.04;0;0.165;0.101;0;0
980;wem;2047;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2047;bussi;0;0;0.669;0.084;0;0;0.242;0.006;0
980;wem;2047;raide;0;0;0;0;0;0;1;0;0
980;wem;2047;hlauto;0.14;0.006;0.319;0.012;0.177;0.086;0.235;0.026;0
980;wem;2047;muu;0;0;0;0;0;0;0;0;1
980;wem;2047;pauto;0.001;0;0.507;0.043;0.07;0;0.164;0.018;0
980;wem;2047;kauto;0;0;0.672;0.043;0;0.174;0.111;0;0
980;wem;2048;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2048;bussi;0;0;0.635;0.088;0;0;0.272;0.005;0
980;wem;2048;raide;0;0;0;0;0;0;1;0;0
980;wem;2048;hlauto;0.115;0.005;0.313;0.011;0.185;0.091;0.252;0.027;0
980;wem;2048;muu;0;0;0;0;0;0;0;0;1
980;wem;2048;pauto;0.001;0;0.481;0.046;0.058;0;0.189;0.019;0
980;wem;2048;kauto;0;0;0.65;0.045;0;0.183;0.123;0;0
980;wem;2049;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2049;bussi;0;0;0.596;0.091;0;0;0.308;0.005;0
980;wem;2049;raide;0;0;0;0;0;0;1;0;0
980;wem;2049;hlauto;0.091;0.005;0.307;0.011;0.193;0.095;0.27;0.029;0
980;wem;2049;muu;0;0;0;0;0;0;0;0;1
980;wem;2049;pauto;0;0;0.456;0.048;0.041;0;0.217;0.019;0
980;wem;2049;kauto;0;0;0.626;0.048;0;0.191;0.135;0;0
980;wem;2050;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2050;bussi;0;0;0.55;0.095;0;0;0.35;0.005;0
980;wem;2050;raide;0;0;0;0;0;0;1;0;0
980;wem;2050;hlauto;0.055;0.005;0.3;0.01;0.2;0.1;0.3;0.03;0
980;wem;2050;muu;0;0;0;0;0;0;0;0;1
980;wem;2050;pauto;0;0;0.43;0.05;0.02;0;0.25;0.02;0
980;wem;2050;kauto;0;0;0.6;0.05;0;0.2;0.15;0;0
