scenario;year;kmuoto;teoll_kaivos;teoll_elint;teoll_tekst;teoll_puu;teoll_paper;teoll_kemia;teoll_miner;teoll_mjalos;teoll_metal;teoll_kone;teoll_muu;teoll_energ;teoll_vesi;teoll_yhdysk;varast;teoll
kasvu;2042;pauto;0;8;16;0;0;5;1;0;8;7;14;0;1;1;31;15
kasvu;2042;kauto;27;85;58;82;92;84;47;61;61;30;49;46;49;46;44;204
kasvu;2043;pauto;0;8;16;0;0;5;1;0;8;7;15;0;1;1;32;15
kasvu;2043;kauto;27;86;58;83;93;85;47;62;62;30;49;46;49;46;44;205
kasvu;2044;pauto;0;8;17;0;0;5;1;0;8;7;15;0;1;1;32;15
kasvu;2044;kauto;28;87;59;83;94;86;48;62;62;30;50;46;50;47;45;208
kasvu;2045;pauto;0;9;17;0;0;5;1;0;8;7;15;0;1;1;32;16
kasvu;2045;kauto;28;88;59;84;95;87;48;63;63;31;50;47;50;47;45;210
kasvu;2046;pauto;0;9;17;0;0;5;1;0;8;7;15;0;1;1;33;16
kasvu;2046;kauto;28;89;60;85;95;88;49;64;64;31;51;47;50;48;46;212
kasvu;2047;pauto;0;9;17;0;0;5;1;0;8;8;15;0;1;1;33;16
kasvu;2047;kauto;29;89;60;86;96;88;49;64;64;31;51;48;51;48;46;213
kasvu;2048;pauto;0;9;17;0;0;5;1;0;8;8;15;0;1;1;33;16
kasvu;2048;kauto;29;90;61;87;97;89;50;65;65;31;52;48;52;49;47;216
kasvu;2049;pauto;0;9;17;0;0;5;1;0;8;8;16;0;1;1;34;16
kasvu;2049;kauto;29;91;62;88;98;90;50;66;66;32;52;49;52;49;47;218
kasvu;2050;pauto;0;9;18;0;0;5;1;0;8;8;16;0;1;1;34;16
kasvu;2050;kauto;29;92;62;89;99;91;51;66;66;32;53;49;53;50;48;220
muutos;2017;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
muutos;2017;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
muutos;2018;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
muutos;2018;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
muutos;2019;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
muutos;2019;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
muutos;2020;pauto;0;7;13;0;0;4;1;0;6;6;11;0;1;1;25;12
muutos;2020;kauto;22;68;46;65;73;67;38;49;49;24;39;36;39;37;35;163
