vuosi;kunta;tp_yht;xyind
2017;837;84;3236256823875
2017;837;28;3238756823875
2017;837;17;3241256823875
2017;837;5;3281256823875
2017;837;41;3283756823875
2017;837;127;3286256823875
2017;837;20;3288756823875
2017;837;15;3291256823875
2017;837;4;3361256823875
2017;837;2;3363756823875
2017;837;10;3366256823875
2017;837;1;3368756823875
2017;837;2;3371256823875
2017;837;2;3373756823875
2017;837;8;3378756823875
2017;837;290;3176256824125
2017;837;17;3181256824125
2017;837;17;3183756824125
2017;837;1;3186256824125
2017;837;7;3188756824125
2017;837;28;3191256824125
2017;837;6;3193756824125
2017;837;2;3196256824125
2017;837;37;3223756824125
2017;837;8;3226256824125
2017;837;2;3228756824125
2017;837;71;3233756824125
2017;837;2;3281256824125
2017;837;46;3283756824125
2017;837;30;3286256824125
2017;837;1;3288756824125
2017;837;2;3298756824125
2017;837;59;3301256824125
2017;005;37;3386256990125
2017;005;2;3583756990125
2017;005;2;3321256990375
2017;005;4;3328756990375
2017;005;18;3373756990375
2017;005;43;3376256990375
2017;005;2;3383756990375
2017;005;94;3388756990375
2017;005;40;3371256990625
2017;005;8;3376256990625
2017;005;6;3378756990625
2017;005;5;3381256990625
2017;005;9;3383756990625
2017;005;2;3386256990625
2017;005;25;3388756990625
2017;005;5;3428756990625
2017;005;1;3328756990875
2017;005;2;3373756990875
2017;005;7;3376256990875
2017;005;8;3381256990875
2017;005;6;3386256990875
2017;005;2;3396256990875
2017;005;1;3401256990875
2017;005;3;3433756990875
2017;005;1;3451256990875
2017;005;1;3316256991125
2017;005;37;3381256991125
2017;005;1;3383756991125
2017;005;1;3396256991125
2017;005;1;3323756991375
2017;005;9;3376256991375
2017;005;16;3378756991375
2017;005;16;3398756991375
2017;837;1;3361256824125
2017;837;5;3363756824125
2017;837;10;3366256824125
2017;837;11;3368756824125
2017;837;1;3371256824125
2017;837;23;3173756824375
2017;837;1124;3176256824375
2017;837;7;3186256824375
2017;837;89;3188756824375
2017;837;4;3191256824375
2017;837;21;3193756824375
2017;837;4;3196256824375
2017;837;18;3198756824375
2017;837;1;3203756824375
2017;837;3;3206256824375
2017;837;5;3208756824375
2017;837;1;3211256824375
2017;837;1;3221256824375
2017;837;10;3223756824375
2017;837;28;3231256824375
2017;837;102;3286256824375
2017;837;601;3288756824375
2017;837;6;3361256824375
2017;837;5;3363756824375
2017;837;1;3366256824375
2017;837;2;3368756824375
2017;837;9;3371256824375
2017;837;1;3376256824375
2017;837;1;3178756824625
2017;837;3;3183756824625
2017;837;3;3186256824625
2017;837;9;3188756824625
2017;837;6;3191256824625
2017;604;12;3161256809625
2017;604;1;3156256810875
2017;604;1;3148756811375
2017;604;1;3141256811875
2017;604;2;3166256812125
2017;604;4;3161256812375
2017;604;4;3151256812875
2017;604;2;3153756812875
2017;604;393;3208756812875
2017;604;1;3146256813125
2017;604;3;3151256813875
2017;604;5;3133756814125
2017;604;1;3153756814125
2017;604;29;3186256814125
2017;604;2;3138756814375
2017;604;2;3163756814375
2017;604;79;3193756814375
2017;604;38;3196256814375
2017;604;2;3198756814375
2017;604;2;3146256814875
2017;604;2;3256256815125
2017;604;2;3256256815375
2017;604;1;3163756815625
2017;604;1;3166256815625
2017;604;30;3198756815625
2017;604;361;3201256815625
2017;604;53;3203756815625
2017;604;11;3258756815625
2017;604;6;3163756815875
2017;604;1;3168756815875
2017;604;9;3193756815875
2017;604;51;3198756815875
