scenario;rakv;rakennus_tyyppi;sahko_kiinteisto_kwhm2
wemp;2033;rivita;20
wemp;2033;askert;22
wemp;2033;liike;25
wemp;2033;tsto;20
wemp;2033;liiken;25
wemp;2033;hoito;35
wemp;2033;kokoon;25
wemp;2033;opetus;20
wemp;2033;teoll;0
wemp;2033;varast;0
wemp;2033;muut;25
wemp;2034;erpien;10
wemp;2034;rivita;20
wemp;2034;askert;22
wemp;2034;liike;25
wemp;2034;tsto;20
wemp;2034;liiken;25
wemp;2034;hoito;35
wemp;2034;kokoon;25
wemp;2034;opetus;20
wemp;2034;teoll;0
wemp;2034;varast;0
wemp;2034;muut;25
wemp;2035;erpien;10
wemp;2035;rivita;20
wemp;2035;askert;22
wemp;2035;liike;25
wemp;2035;tsto;20
wemp;2035;liiken;25
wemp;2035;hoito;35
wemp;2035;kokoon;25
wemp;2035;opetus;20
wemp;2035;teoll;0
wemp;2035;varast;0
wemp;2035;muut;25
wemp;2036;erpien;10
wemp;2036;rivita;20
wemp;2036;askert;22
wemp;2036;liike;25
wemp;2036;tsto;20
wemp;2036;liiken;25
wemp;2036;hoito;35
wemp;2036;kokoon;25
wemp;2036;opetus;20
wemp;2036;teoll;0
wemp;2036;varast;0
wemp;2036;muut;25
wemp;2037;erpien;10
wemp;2037;rivita;20
wemp;2037;askert;22
wemp;2037;liike;25
wemp;2037;tsto;20
wemp;2037;liiken;25
wemp;2037;hoito;35
wemp;2037;kokoon;25
wemp;2037;opetus;20
wemp;2037;teoll;0
wemp;2037;varast;0
wemp;2037;muut;25
wemp;2038;erpien;10
wemp;2038;rivita;20
wemp;2038;askert;22
wemp;2038;liike;25
wemp;2038;tsto;20
wemp;2038;liiken;25
wemp;2038;hoito;35
wemp;2038;kokoon;25
wemp;2038;opetus;20
wemp;2038;teoll;0
wemp;2038;varast;0
wemp;2038;muut;25
wemp;2039;erpien;10
wemp;2039;rivita;20
wemp;2039;askert;22
wemp;2039;liike;25
wemp;2039;tsto;20
wemp;2039;liiken;25
wemp;2039;hoito;35
wemp;2039;kokoon;25
wemp;2039;opetus;20
wemp;2039;teoll;0
wemp;2039;varast;0
wemp;2039;muut;25
wemp;2040;erpien;10
wemp;2040;rivita;20
wemp;2040;askert;22
wemp;2040;liike;25
wemp;2040;tsto;20
wemp;2040;liiken;25
wemp;2040;hoito;35
wemp;2040;kokoon;25
wemp;2040;opetus;20
wemp;2040;teoll;0
wemp;2040;varast;0
wemp;2040;muut;25
wemp;2041;erpien;10
wemp;2041;rivita;20
wemp;2041;askert;22
wemp;2041;liike;25
wemp;2041;tsto;20
wemp;2041;liiken;25
wemp;2041;hoito;35
wemp;2041;kokoon;25
wemp;2041;opetus;20
wemp;2041;teoll;0
wemp;2041;varast;0
wemp;2041;muut;25
wemp;2042;erpien;10
wemp;2042;rivita;20
wemp;2042;askert;22
wemp;2042;liike;25
wemp;2042;tsto;20
wemp;2042;liiken;25
wemp;2042;hoito;35
wemp;2042;kokoon;25
wemp;2042;opetus;20
wemp;2042;teoll;0
wemp;2042;varast;0
wemp;2042;muut;25
wemp;2043;erpien;10
wemp;2043;rivita;20
wemp;2043;askert;22
wemp;2043;liike;25
wemp;2043;tsto;20
wemp;2043;liiken;25
wemp;2043;hoito;35
wemp;2043;kokoon;25
wemp;2043;opetus;20
wemp;2043;teoll;0
