rakv;rakennus_tyyppi;kaukolampo;kevyt_oljy;raskas_oljy;kaasu;sahko;puu;turve;hiili;maalampo;muu_lammitys
2048;teoll;0.85;0.77;0.77;0.84;0.85;0.75;0.71;0.71;3.28;0.75
2048;varast;0.85;0.77;0.77;0.84;0.85;0.75;0.71;0.71;3.28;0.75
2048;muut;0.95;0.86;0.86;0.94;0.95;0.83;0.8;0.8;3.67;0.83
2049;erpien;0.95;0.86;0.86;0.94;0.95;0.84;0.8;0.8;3.69;0.84
2049;rivita;0.95;0.86;0.86;0.94;0.95;0.84;0.8;0.8;3.69;0.84
2049;askert;1;0.83;0.83;0.98;1;0.77;0.7;0.7;5.94;0.77
2049;liike;0.9;0.82;0.82;0.89;0.9;0.79;0.76;0.76;3.49;0.79
2049;tsto;0.95;0.86;0.86;0.94;0.95;0.84;0.8;0.8;3.69;0.84
2049;liiken;0.9;0.82;0.82;0.89;0.9;0.79;0.76;0.76;3.49;0.79
2049;hoito;0.95;0.86;0.86;0.94;0.95;0.84;0.8;0.8;3.69;0.84
2049;kokoon;0.9;0.82;0.82;0.89;0.9;0.79;0.76;0.76;3.49;0.79
2049;opetus;0.95;0.86;0.86;0.94;0.95;0.84;0.8;0.8;3.69;0.84
2049;teoll;0.85;0.77;0.77;0.84;0.85;0.75;0.71;0.71;3.3;0.75
2049;varast;0.85;0.77;0.77;0.84;0.85;0.75;0.71;0.71;3.3;0.75
2049;muut;0.95;0.86;0.86;0.94;0.95;0.84;0.8;0.8;3.69;0.84
2050;erpien;0.95;0.86;0.86;0.94;0.95;0.84;0.8;0.8;3.7;0.84
2050;rivita;0.95;0.86;0.86;0.94;0.95;0.84;0.8;0.8;3.7;0.84
2050;askert;1;0.83;0.83;0.98;1;0.77;0.71;0.71;6.05;0.77
2050;liike;0.9;0.82;0.82;0.89;0.9;0.79;0.76;0.76;3.51;0.79
2050;tsto;0.95;0.86;0.86;0.94;0.95;0.84;0.8;0.8;3.7;0.84
2050;liiken;0.9;0.82;0.82;0.89;0.9;0.79;0.76;0.76;3.51;0.79
2050;hoito;0.95;0.86;0.86;0.94;0.95;0.84;0.8;0.8;3.7;0.84
2050;kokoon;0.9;0.82;0.82;0.89;0.9;0.79;0.76;0.76;3.51;0.79
2050;opetus;0.95;0.86;0.86;0.94;0.95;0.84;0.8;0.8;3.7;0.84
2050;teoll;0.85;0.77;0.77;0.84;0.85;0.75;0.71;0.71;3.32;0.75
2050;varast;0.85;0.77;0.77;0.84;0.85;0.75;0.71;0.71;3.32;0.75
2050;muut;0.95;0.86;0.86;0.94;0.95;0.84;0.8;0.8;3.7;0.84
