scenario;rakv;rakennus_tyyppi;vesi_kwh_m2
wemp;2040;kokoon;0
wemp;2040;opetus;27
wemp;2040;teoll;29
wemp;2040;varast;26
wemp;2040;muut;0
wemp;2041;erpien;27
wemp;2041;rivita;29
wemp;2041;askert;26
wemp;2041;liike;0
wemp;2041;tsto;27
wemp;2041;liiken;29
wemp;2041;hoito;26
wemp;2041;kokoon;0
wemp;2041;opetus;27
wemp;2041;teoll;29
wemp;2041;varast;26
wemp;2041;muut;0
wemp;2042;erpien;27
wemp;2042;rivita;29
wemp;2042;askert;26
wemp;2042;liike;0
wemp;2042;tsto;27
wemp;2042;liiken;29
wemp;2042;hoito;26
wemp;2042;kokoon;0
wemp;2042;opetus;27
wemp;2042;teoll;29
wemp;2042;varast;26
wemp;2042;muut;0
wemp;2043;erpien;27
wemp;2043;rivita;29
wemp;2043;askert;26
wemp;2043;liike;0
wemp;2043;tsto;27
wemp;2043;liiken;29
wemp;2043;hoito;26
wemp;2043;kokoon;0
wemp;2043;opetus;27
wemp;2043;teoll;29
wemp;2043;varast;26
wemp;2043;muut;0
wemp;2044;erpien;27
wemp;2044;rivita;29
wemp;2044;askert;26
wemp;2044;liike;0
wemp;2044;tsto;27
wemp;2044;liiken;29
wemp;2044;hoito;26
wemp;2044;kokoon;0
wemp;2044;opetus;27
wemp;2044;teoll;29
wemp;2044;varast;26
wemp;2044;muut;0
wemp;2045;erpien;27
wemp;2045;rivita;29
wemp;2045;askert;26
wemp;2045;liike;0
wemp;2045;tsto;27
wemp;2045;liiken;29
wemp;2045;hoito;26
wemp;2045;kokoon;0
wemp;2045;opetus;27
wemp;2045;teoll;29
wemp;2045;varast;26
wemp;2045;muut;0
wemp;2046;erpien;27
wemp;2046;rivita;29
wemp;2046;askert;26
wemp;2046;liike;0
wemp;2046;tsto;27
wemp;2046;liiken;29
wemp;2046;hoito;26
wemp;2046;kokoon;0
wemp;2046;opetus;27
wemp;2046;teoll;29
wemp;2046;varast;26
wemp;2046;muut;0
wemp;2047;erpien;27
wemp;2047;rivita;29
wemp;2047;askert;26
wemp;2047;liike;0
wemp;2047;tsto;27
wemp;2047;liiken;29
wemp;2047;hoito;26
wemp;2047;kokoon;0
wemp;2047;opetus;27
wemp;2047;teoll;29
wemp;2047;varast;26
wemp;2047;muut;0
wemp;2048;erpien;27
wemp;2048;rivita;29
wemp;2048;askert;26
wemp;2048;liike;0
wemp;2048;tsto;27
wemp;2048;liiken;29
wemp;2048;hoito;26
wemp;2048;kokoon;0
wemp;2048;opetus;27
wemp;2048;teoll;29
wemp;2048;varast;26
wemp;2048;muut;0
wemp;2049;erpien;27
wemp;2049;rivita;29
wemp;2049;askert;26
wemp;2049;liike;0
wemp;2049;tsto;27
wemp;2049;liiken;29
wemp;2049;hoito;26
wemp;2049;kokoon;0
wemp;2049;opetus;27
wemp;2049;teoll;29
wemp;2049;varast;26
wemp;2049;muut;0
wemp;2050;erpien;27
wemp;2050;rivita;29
wemp;2050;askert;26
wemp;2050;liike;0
wemp;2050;tsto;27
wemp;2050;liiken;29
wemp;2050;hoito;26
wemp;2050;kokoon;0
wemp;2050;opetus;27
wemp;2050;teoll;29
wemp;2050;varast;26
wemp;2050;muut;0
wemh;9999;erpien;29
wemh;9999;rivita;31
wemh;9999;askert;31
wemh;9999;liike;34
wemh;9999;tsto;5
wemh;9999;liiken;4
wemh;9999;hoito;27
wemh;9999;kokoon;6
wemh;9999;opetus;9
wemh;9999;teoll;8
wemh;9999;varast;4
wemh;9999;muut;8
wemh;1920;erpien;29
wemh;1920;rivita;35
wemh;1920;askert;35
wemh;1920;liike;35
wemh;1920;tsto;5
wemh;1920;liiken;4
wemh;1920;hoito;27
wemh;1920;kokoon;6
wemh;1920;opetus;10
wemh;1920;teoll;8
wemh;1920;varast;4
wemh;1920;muut;8
wemh;1929;erpien;29
wemh;1929;rivita;35
wemh;1929;askert;35
wemh;1929;liike;35
wemh;1929;tsto;5
wemh;1929;liiken;4
wemh;1929;hoito;27
wemh;1929;kokoon;6
wemh;1929;opetus;10
wemh;1929;teoll;8
wemh;1929;varast;4
wemh;1929;muut;8
wemh;1939;erpien;29
wemh;1939;rivita;35
wemh;1939;askert;35
wemh;1939;liike;35
wemh;1939;tsto;5
wemh;1939;liiken;5
wemh;1939;hoito;27
wemh;1939;kokoon;6
wemh;1939;opetus;10
wemh;1939;teoll;8
wemh;1939;varast;4
wemh;1939;muut;8
wemh;1949;erpien;29
wemh;1949;rivita;34
wemh;1949;askert;35
wemh;1949;liike;35
wemh;1949;tsto;5
wemh;1949;liiken;0
wemh;1949;hoito;27
wemh;1949;kokoon;6
wemh;1949;opetus;10
wemh;1949;teoll;8
wemh;1949;varast;4
wemh;1949;muut;8
wemh;1959;erpien;29
wemh;1959;rivita;34
wemh;1959;askert;34
wemh;1959;liike;35
wemh;1959;tsto;5
wemh;1959;liiken;4
wemh;1959;hoito;27
wemh;1959;kokoon;6
