scenario;rakv;rakennus_tyyppi;jaahdytys_osuus;jaahdytys_kwhm2;jaahdytys_kaukok;jaahdytys_sahko;jaahdytys_pumput;jaahdytys_muu
wem;2025;erpien;1;1.2;0;1;0;0
wem;2025;rivita;1;1.2;0;1;0;0
wem;2025;askert;1;1.2;0;1;0;0
wem;2025;liike;1;11;0;1;0;0
wem;2025;tsto;1;12;0;1;0;0
wem;2025;liiken;1;12;0;1;0;0
wem;2025;hoito;1;12;0;1;0;0
wem;2025;kokoon;1;12;0;1;0;0
wem;2025;opetus;1;12;0;1;0;0
wem;2025;teoll;0;3.6;0;1;0;0
wem;2025;varast;1;3.6;0;1;0;0
wem;2025;muut;1;12;0;1;0;0
wem;2026;erpien;1;1.2;0;1;0;0
wem;2026;rivita;1;1.2;0;1;0;0
wem;2026;askert;1;1.2;0;1;0;0
wem;2026;liike;1;11;0;1;0;0
wem;2026;tsto;1;12;0;1;0;0
wem;2026;liiken;1;12;0;1;0;0
wem;2026;hoito;1;12;0;1;0;0
wem;2026;kokoon;1;12;0;1;0;0
wem;2026;opetus;1;12;0;1;0;0
wem;2026;teoll;0;3.6;0;1;0;0
wem;2026;varast;1;3.6;0;1;0;0
wem;2026;muut;1;12;0;1;0;0
wem;2027;erpien;1;1.2;0;1;0;0
wem;2027;rivita;1;1.2;0;1;0;0
wem;2027;askert;1;1.2;0;1;0;0
wem;2027;liike;1;10;0;1;0;0
wem;2027;tsto;1;12;0;1;0;0
wem;2027;liiken;1;12;0;1;0;0
wem;2027;hoito;1;12;0;1;0;0
wem;2027;kokoon;1;12;0;1;0;0
wem;2027;opetus;1;12;0;1;0;0
wem;2027;teoll;0;3.6;0;1;0;0
wem;2027;varast;1;3.6;0;1;0;0
wem;2027;muut;1;12;0;1;0;0
wem;2028;erpien;1;1.2;0;1;0;0
wem;2028;rivita;1;1.2;0;1;0;0
wem;2028;askert;1;1.2;0;1;0;0
wem;2028;liike;1;10;0;1;0;0
wem;2028;tsto;1;12;0;1;0;0
wem;2028;liiken;1;12;0;1;0;0
wem;2028;hoito;1;12;0;1;0;0
wem;2028;kokoon;1;12;0;1;0;0
wem;2028;opetus;1;12;0;1;0;0
wem;2028;teoll;0;3.6;0;1;0;0
wem;2028;varast;1;3.6;0;1;0;0
wem;2028;muut;1;12;0;1;0;0
wem;2029;erpien;1;1.2;0;1;0;0
wem;2029;rivita;1;1.2;0;1;0;0
wem;2029;askert;1;1.2;0;1;0;0
wem;2029;liike;1;10;0;1;0;0
wem;2029;tsto;1;12;0;1;0;0
wem;2029;liiken;1;12;0;1;0;0
wem;2029;hoito;1;12;0;1;0;0
wem;2029;kokoon;1;12;0;1;0;0
wem;2029;opetus;1;12;0;1;0;0
wem;2029;teoll;0;3.6;0;1;0;0
wem;2029;varast;1;3.6;0;1;0;0
wem;2029;muut;1;12;0;1;0;0
wem;2030;erpien;1;1.2;0;1;0;0
wem;2030;rivita;1;1.2;0;1;0;0
wem;2030;askert;1;1.2;0;1;0;0
wem;2030;liike;1;10;0;1;0;0
wem;2030;tsto;1;12;0;1;0;0
wem;2030;liiken;1;12;0;1;0;0
wem;2030;hoito;1;12;0;1;0;0
wem;2030;kokoon;1;12;0;1;0;0
wem;2030;opetus;1;12;0;1;0;0
wem;2030;teoll;0;3.6;0;1;0;0
wem;2030;varast;1;3.6;0;1;0;0
wem;2030;muut;1;12;0;1;0;0
wem;2031;erpien;1;1.2;0;1;0;0
wem;2031;rivita;1;1.2;0;1;0;0
wem;2031;askert;1;1.2;0;1;0;0
wem;2031;liike;1;10;0;1;0;0
wem;2031;tsto;1;12;0;1;0;0
wem;2031;liiken;1;12;0;1;0;0
wem;2031;hoito;1;12;0;1;0;0
wem;2031;kokoon;1;12;0;1;0;0
wem;2031;opetus;1;12;0;1;0;0
wem;2031;teoll;0;3.6;0;1;0;0
wem;2031;varast;1;3.6;0;1;0;0
wem;2031;muut;1;12;0;1;0;0
wem;2032;erpien;1;1.2;0;1;0;0
wem;2032;rivita;1;1.2;0;1;0;0
wem;2032;askert;1;1.2;0;1;0;0
wem;2032;liike;1;10;0;1;0;0
wem;2032;tsto;1;12;0;1;0;0
wem;2032;liiken;1;12;0;1;0;0
wem;2032;hoito;1;12;0;1;0;0
wem;2032;kokoon;1;12;0;1;0;0
wem;2032;opetus;1;12;0;1;0;0
wem;2032;teoll;0;3.6;0;1;0;0
wem;2032;varast;1;3.6;0;1;0;0
wem;2032;muut;1;12;0;1;0;0
wem;2033;erpien;1;1.2;0;1;0;0
wem;2033;rivita;1;1.2;0;1;0;0
wem;2033;askert;1;1.2;0;1;0;0
wem;2033;liike;1;10;0;1;0;0
wem;2033;tsto;1;12;0;1;0;0
wem;2033;liiken;1;12;0;1;0;0
wem;2033;hoito;1;12;0;1;0;0
wem;2033;kokoon;1;12;0;1;0;0
wem;2033;opetus;1;12;0;1;0;0
wem;2033;teoll;0;3.6;0;1;0;0
wem;2033;varast;1;3.6;0;1;0;0
wem;2033;muut;1;12;0;1;0;0
wem;2034;erpien;1;1.2;0;1;0;0
wem;2034;rivita;1;1.2;0;1;0;0
wem;2034;askert;1;1.2;0;1;0;0
wem;2034;liike;1;10;0;1;0;0
wem;2034;tsto;1;12;0;1;0;0
wem;2034;liiken;1;12;0;1;0;0
wem;2034;hoito;1;12;0;1;0;0
wem;2034;kokoon;1;12;0;1;0;0
wem;2034;opetus;1;12;0;1;0;0
wem;2034;teoll;0;3.6;0;1;0;0
wem;2034;varast;1;3.6;0;1;0;0
wem;2034;muut;1;12;0;1;0;0
wem;2035;erpien;1;1.2;0;1;0;0
wem;2035;rivita;1;1.2;0;1;0;0
wem;2035;askert;1;1.2;0;1;0;0
wem;2035;liike;1;10;0;1;0;0
wem;2035;tsto;1;12;0;1;0;0
wem;2035;liiken;1;12;0;1;0;0
wem;2035;hoito;1;12;0;1;0;0
wem;2035;kokoon;1;12;0;1;0;0
wem;2035;opetus;1;12;0;1;0;0
wem;2035;teoll;0;3.6;0;1;0;0
wem;2035;varast;1;3.6;0;1;0;0
wem;2035;muut;1;12;0;1;0;0
wem;2036;erpien;1;1.2;0;1;0;0
wem;2036;rivita;1;1.2;0;1;0;0
wem;2036;askert;1;1.2;0;1;0;0
wem;2036;liike;1;10;0;1;0;0
wem;2036;tsto;1;12;0;1;0;0
wem;2036;liiken;1;12;0;1;0;0
wem;2036;hoito;1;12;0;1;0;0
wem;2036;kokoon;1;12;0;1;0;0
wem;2036;opetus;1;12;0;1;0;0
wem;2036;teoll;0;3.6;0;1;0;0
wem;2036;varast;1;3.6;0;1;0;0
wem;2036;muut;1;12;0;1;0;0
wem;2037;erpien;1;1.2;0;1;0;0
wem;2037;rivita;1;1.2;0;1;0;0
wem;2037;askert;1;1.2;0;1;0;0
wem;2037;liike;1;10;0;1;0;0
wem;2037;tsto;1;12;0;1;0;0
wem;2037;liiken;1;12;0;1;0;0
wem;2037;hoito;1;12;0;1;0;0
wem;2037;kokoon;1;12;0;1;0;0
wem;2037;opetus;1;12;0;1;0;0
wem;2037;teoll;0;3.6;0;1;0;0
wem;2037;varast;1;3.6;0;1;0;0
wem;2037;muut;1;12;0;1;0;0
wem;2038;erpien;1;1.2;0;1;0;0
wem;2038;rivita;1;1.2;0;1;0;0
wem;2038;askert;1;1.2;0;1;0;0
wem;2038;liike;1;10;0;1;0;0
wem;2038;tsto;1;12;0;1;0;0
wem;2038;liiken;1;12;0;1;0;0
wem;2038;hoito;1;12;0;1;0;0
wem;2038;kokoon;1;12;0;1;0;0
wem;2038;opetus;1;12;0;1;0;0
wem;2038;teoll;0;3.6;0;1;0;0
wem;2038;varast;1;3.6;0;1;0;0
wem;2038;muut;1;12;0;1;0;0
wem;2039;erpien;1;1.2;0;1;0;0
wem;2039;rivita;1;1.2;0;1;0;0
wem;2039;askert;1;1.2;0;1;0;0
wem;2039;liike;1;10;0;1;0;0
wem;2039;tsto;1;12;0;1;0;0
wem;2039;liiken;1;12;0;1;0;0
wem;2039;hoito;1;12;0;1;0;0
wem;2039;kokoon;1;12;0;1;0;0
wem;2039;opetus;1;12;0;1;0;0
wem;2039;teoll;0;3.6;0;1;0;0
wem;2039;varast;1;3.6;0;1;0;0
wem;2039;muut;1;12;0;1;0;0
wem;2040;erpien;1;1.2;0;1;0;0
wem;2040;rivita;1;1.2;0;1;0;0
wem;2040;askert;1;1.2;0;1;0;0
wem;2040;liike;1;10;0;1;0;0
wem;2040;tsto;1;12;0;1;0;0
wem;2040;liiken;1;12;0;1;0;0
wem;2040;hoito;1;12;0;1;0;0
wem;2040;kokoon;1;12;0;1;0;0
wem;2040;opetus;1;12;0;1;0;0
wem;2040;teoll;0;3.6;0;1;0;0
wem;2040;varast;1;3.6;0;1;0;0
wem;2040;muut;1;12;0;1;0;0
wem;2041;erpien;1;1.2;0;1;0;0
wem;2041;rivita;1;1.2;0;1;0;0
wem;2041;askert;1;1.2;0;1;0;0
wem;2041;liike;1;10;0;1;0;0
wem;2041;tsto;1;12;0;1;0;0
wem;2041;liiken;1;12;0;1;0;0
wem;2041;hoito;1;12;0;1;0;0
wem;2041;kokoon;1;12;0;1;0;0
wem;2041;opetus;1;12;0;1;0;0
wem;2041;teoll;0;3.6;0;1;0;0
wem;2041;varast;1;3.6;0;1;0;0
wem;2041;muut;1;12;0;1;0;0
wem;2042;erpien;1;1.2;0;1;0;0
wem;2042;rivita;1;1.2;0;1;0;0
wem;2042;askert;1;1.2;0;1;0;0
wem;2042;liike;1;10;0;1;0;0
wem;2042;tsto;1;12;0;1;0;0
wem;2042;liiken;1;12;0;1;0;0
wem;2042;hoito;1;12;0;1;0;0
wem;2042;kokoon;1;12;0;1;0;0
wem;2042;opetus;1;12;0;1;0;0
wem;2042;teoll;0;3.6;0;1;0;0
wem;2042;varast;1;3.6;0;1;0;0
wem;2042;muut;1;12;0;1;0;0
wem;2043;erpien;1;1.2;0;1;0;0
wem;2043;rivita;1;1.2;0;1;0;0
wem;2043;askert;1;1.2;0;1;0;0
wem;2043;liike;1;10;0;1;0;0
wem;2043;tsto;1;12;0;1;0;0
wem;2043;liiken;1;12;0;1;0;0
wem;2043;hoito;1;12;0;1;0;0
wem;2043;kokoon;1;12;0;1;0;0
wem;2043;opetus;1;12;0;1;0;0
wem;2043;teoll;0;3.6;0;1;0;0
wem;2043;varast;1;3.6;0;1;0;0
wem;2043;muut;1;12;0;1;0;0
wem;2044;erpien;1;1.2;0;1;0;0
wem;2044;rivita;1;1.2;0;1;0;0
wem;2044;askert;1;1.2;0;1;0;0
wem;2044;liike;1;10;0;1;0;0
wem;2044;tsto;1;12;0;1;0;0
wem;2044;liiken;1;12;0;1;0;0
wem;2044;hoito;1;12;0;1;0;0
wem;2044;kokoon;1;12;0;1;0;0
wem;2044;opetus;1;12;0;1;0;0
wem;2044;teoll;0;3.6;0;1;0;0
wem;2044;varast;1;3.6;0;1;0;0
wem;2044;muut;1;12;0;1;0;0
wem;2045;erpien;1;1.2;0;1;0;0
wem;2045;rivita;1;1.2;0;1;0;0
wem;2045;askert;1;1.2;0;1;0;0
wem;2045;liike;1;10;0;1;0;0
wem;2045;tsto;1;12;0;1;0;0
wem;2045;liiken;1;12;0;1;0;0
wem;2045;hoito;1;12;0;1;0;0
wem;2045;kokoon;1;12;0;1;0;0
wem;2045;opetus;1;12;0;1;0;0
wem;2045;teoll;0;3.6;0;1;0;0
wem;2045;varast;1;3.6;0;1;0;0
wem;2045;muut;1;12;0;1;0;0
wem;2046;erpien;1;1.2;0;1;0;0
wem;2046;rivita;1;1.2;0;1;0;0
wem;2046;askert;1;1.2;0;1;0;0
wem;2046;liike;1;10;0;1;0;0
wem;2046;tsto;1;12;0;1;0;0
wem;2046;liiken;1;12;0;1;0;0
wem;2046;hoito;1;12;0;1;0;0
wem;2046;kokoon;1;12;0;1;0;0
wem;2046;opetus;1;12;0;1;0;0
wem;2046;teoll;0;3.6;0;1;0;0
wem;2046;varast;1;3.6;0;1;0;0
wem;2046;muut;1;12;0;1;0;0
wem;2047;erpien;1;1.2;0;1;0;0
wem;2047;rivita;1;1.2;0;1;0;0
wem;2047;askert;1;1.2;0;1;0;0
wem;2047;liike;1;10;0;1;0;0
wem;2047;tsto;1;12;0;1;0;0
wem;2047;liiken;1;12;0;1;0;0
wem;2047;hoito;1;12;0;1;0;0
wem;2047;kokoon;1;12;0;1;0;0
wem;2047;opetus;1;12;0;1;0;0
wem;2047;teoll;0;3.6;0;1;0;0
wem;2047;varast;1;3.6;0;1;0;0
wem;2047;muut;1;12;0;1;0;0
wem;2048;erpien;1;1.2;0;1;0;0
wem;2048;rivita;1;1.2;0;1;0;0
wem;2048;askert;1;1.2;0;1;0;0
wem;2048;liike;1;10;0;1;0;0
wem;2048;tsto;1;12;0;1;0;0
wem;2048;liiken;1;12;0;1;0;0
wem;2048;hoito;1;12;0;1;0;0
wem;2048;kokoon;1;12;0;1;0;0
wem;2048;opetus;1;12;0;1;0;0
wem;2048;teoll;0;3.6;0;1;0;0
wem;2048;varast;1;3.6;0;1;0;0
wem;2048;muut;1;12;0;1;0;0
wem;2049;erpien;1;1.2;0;1;0;0
wem;2049;rivita;1;1.2;0;1;0;0
wem;2049;askert;1;1.2;0;1;0;0
wem;2049;liike;1;10;0;1;0;0
wem;2049;tsto;1;12;0;1;0;0
wem;2049;liiken;1;12;0;1;0;0
wem;2049;hoito;1;12;0;1;0;0
wem;2049;kokoon;1;12;0;1;0;0
wem;2049;opetus;1;12;0;1;0;0
wem;2049;teoll;0;3.6;0;1;0;0
wem;2049;varast;1;3.6;0;1;0;0
wem;2049;muut;1;12;0;1;0;0
wem;2050;erpien;1;1.2;0;1;0;0
wem;2050;rivita;1;1.2;0;1;0;0
wem;2050;askert;1;1.2;0;1;0;0
wem;2050;liike;1;10;0;1;0;0
wem;2050;tsto;1;12;0;1;0;0
wem;2050;liiken;1;12;0;1;0;0
wem;2050;hoito;1;12;0;1;0;0
wem;2050;kokoon;1;12;0;1;0;0
wem;2050;opetus;1;12;0;1;0;0
wem;2050;teoll;0;3.6;0;1;0;0
wem;2050;varast;1;3.6;0;1;0;0
wem;2050;muut;1;12;0;1;0;0
wem;9999;erpien;1;0.1;0;1;0;0
wem;9999;rivita;1;0;0;1;0;0
wem;9999;askert;1;0;0;1;0;0
wem;9999;liike;1;1;0;1;0;0
wem;9999;tsto;1;1;0;1;0;0
wem;9999;liiken;1;1;0;1;0;0
wem;9999;hoito;1;1;0;1;0;0
wem;9999;kokoon;1;1;0;1;0;0
wem;9999;opetus;1;1;0;1;0;0
wem;9999;teoll;0;0.2;0;1;0;0
wem;9999;varast;1;0.2;0;1;0;0
wem;9999;muut;1;1;0;1;0;0
wem;1920;erpien;1;0.1;0;1;0;0
wem;1920;rivita;1;0;0;1;0;0
wem;1920;askert;1;0;0;1;0;0
wem;1920;liike;1;1;0;1;0;0
wem;1920;tsto;1;1;0;1;0;0
wem;1920;liiken;1;1;0;1;0;0
wem;1920;hoito;1;1;0;1;0;0
wem;1920;kokoon;1;1;0;1;0;0
wem;1920;opetus;1;1;0;1;0;0
wem;1920;teoll;0;0.2;0;1;0;0
wem;1920;varast;1;0.2;0;1;0;0
wem;1920;muut;1;1;0;1;0;0
wem;1929;erpien;1;0.1;0;1;0;0
wem;1929;rivita;1;0;0;1;0;0
wem;1929;askert;1;0;0;1;0;0
wem;1929;liike;1;1;0;1;0;0
wem;1929;tsto;1;1;0;1;0;0
wem;1929;liiken;1;1;0;1;0;0
wem;1929;hoito;1;1;0;1;0;0
wem;1929;kokoon;1;1;0;1;0;0
wem;1929;opetus;1;1;0;1;0;0
wem;1929;teoll;0;0.2;0;1;0;0
wem;1929;varast;1;0.2;0;1;0;0
wem;1929;muut;1;1;0;1;0;0
wem;1939;erpien;1;0.1;0;1;0;0
wem;1939;rivita;1;0;0;1;0;0
wem;1939;askert;1;0;0;1;0;0
wem;1939;liike;1;1;0;1;0;0
wem;1939;tsto;1;1;0;1;0;0
wem;1939;liiken;1;1;0;1;0;0
wem;1939;hoito;1;1;0;1;0;0
wem;1939;kokoon;1;1;0;1;0;0
wem;1939;opetus;1;1;0;1;0;0
wem;1939;teoll;0;0.2;0;1;0;0
wem;1939;varast;1;0.2;0;1;0;0
wem;1939;muut;1;1;0;1;0;0
wem;1949;erpien;1;0.1;0;1;0;0
wem;1949;rivita;1;0;0;1;0;0
wem;1949;askert;1;0;0;1;0;0
wem;1949;liike;1;1;0;1;0;0
wem;1949;tsto;1;1;0;1;0;0
wem;1949;liiken;1;1;0;1;0;0
wem;1949;hoito;1;1;0;1;0;0
wem;1949;kokoon;1;1;0;1;0;0
wem;1949;opetus;1;1;0;1;0;0
wem;1949;teoll;0;0.2;0;1;0;0
wem;1949;varast;1;0.2;0;1;0;0
wem;1949;muut;1;1;0;1;0;0
wem;1959;erpien;1;0.1;0;1;0;0
wem;1959;rivita;1;0;0;1;0;0
wem;1959;askert;1;0;0;1;0;0
wem;1959;liike;1;1;0;1;0;0
wem;1959;tsto;1;1;0;1;0;0
wem;1959;liiken;1;1;0;1;0;0
wem;1959;hoito;1;1;0;1;0;0
wem;1959;kokoon;1;1;0;1;0;0
wem;1959;opetus;1;1;0;1;0;0
wem;1959;teoll;0;0.2;0;1;0;0
wem;1959;varast;1;0.2;0;1;0;0
