scenario;year;rakv;rakennus_tyyppi;kaukolampo;kevyt_oljy;kaasu;sahko;puu;maalampo;muu_lammitys
kasvu;2031;1959;hoito;0.88;0.12;0;0;0;0;0
kasvu;2031;1969;hoito;1;0;0;0;0;0;0
kasvu;2031;1979;hoito;0.9;0.1;0;0;0;0;0
kasvu;2031;1989;hoito;0.99;0;0;0.01;0;0;0
kasvu;2031;1999;hoito;0.92;0.07;0;0.01;0;0;0
kasvu;2031;2009;hoito;0.9;0.02;0;0.07;0;0;0.01
kasvu;2031;2010;hoito;0.92;0;0;0.02;0;0.06;0
kasvu;2031;2018;hoito;0.93;0;0;0;0;0;0.07
kasvu;2031;2019;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2031;2020;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2031;2021;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2031;2022;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2031;2023;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2031;2024;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2031;2025;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2031;2026;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2031;2027;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2031;2028;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2031;2029;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2031;2030;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2031;2031;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2032;9999;hoito;1;0;0;0;0;0;0
kasvu;2032;1920;hoito;1;0;0;0;0;0;0
kasvu;2032;1929;hoito;0.92;0.06;0;0;0;0;0.01
kasvu;2032;1939;hoito;0.91;0.06;0;0.03;0;0;0
kasvu;2032;1949;hoito;1;0;0;0;0;0;0
kasvu;2032;1959;hoito;0.88;0.12;0;0;0;0;0
kasvu;2032;1969;hoito;1;0;0;0;0;0;0
kasvu;2032;1979;hoito;0.9;0.1;0;0;0;0;0
kasvu;2032;1989;hoito;0.99;0;0;0.01;0;0;0
kasvu;2032;1999;hoito;0.92;0.07;0;0.01;0;0;0
kasvu;2032;2009;hoito;0.9;0.02;0;0.07;0;0;0.01
kasvu;2032;2010;hoito;0.92;0;0;0.02;0;0.06;0
kasvu;2032;2018;hoito;0.93;0;0;0;0;0;0.07
kasvu;2032;2019;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2032;2020;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2032;2021;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2032;2022;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2032;2023;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2032;2024;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2032;2025;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2032;2026;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2032;2027;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2032;2028;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2032;2029;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2032;2030;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2032;2031;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2032;2032;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;9999;hoito;1;0;0;0;0;0;0
kasvu;2033;1920;hoito;1;0;0;0;0;0;0
kasvu;2033;1929;hoito;0.92;0.06;0;0;0;0;0.01
kasvu;2033;1939;hoito;0.91;0.06;0;0.03;0;0;0
kasvu;2033;1949;hoito;1;0;0;0;0;0;0
kasvu;2033;1959;hoito;0.88;0.12;0;0;0;0;0
kasvu;2033;1969;hoito;1;0;0;0;0;0;0
kasvu;2033;1979;hoito;0.9;0.1;0;0;0;0;0
kasvu;2033;1989;hoito;0.99;0;0;0.01;0;0;0
kasvu;2033;1999;hoito;0.92;0.07;0;0.01;0;0;0
kasvu;2033;2009;hoito;0.9;0.02;0;0.07;0;0;0.01
kasvu;2033;2010;hoito;0.92;0;0;0.02;0;0.06;0
kasvu;2033;2018;hoito;0.93;0;0;0;0;0;0.07
kasvu;2033;2019;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;2020;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;2021;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;2022;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;2023;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;2024;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;2025;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;2026;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;2027;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;2028;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;2029;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;2030;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;2031;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;2032;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2033;2033;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;9999;hoito;1;0;0;0;0;0;0
kasvu;2034;1920;hoito;1;0;0;0;0;0;0
kasvu;2034;1929;hoito;0.92;0.06;0;0;0;0;0.01
kasvu;2034;1939;hoito;0.91;0.06;0;0.03;0;0;0
kasvu;2034;1949;hoito;1;0;0;0;0;0;0
kasvu;2034;1959;hoito;0.88;0.12;0;0;0;0;0
kasvu;2034;1969;hoito;1;0;0;0;0;0;0
kasvu;2034;1979;hoito;0.9;0.1;0;0;0;0;0
kasvu;2034;1989;hoito;0.99;0;0;0.01;0;0;0
kasvu;2034;1999;hoito;0.92;0.07;0;0.01;0;0;0
kasvu;2034;2009;hoito;0.9;0.02;0;0.07;0;0;0.01
kasvu;2034;2010;hoito;0.92;0;0;0.02;0;0.06;0
kasvu;2034;2018;hoito;0.93;0;0;0;0;0;0.07
kasvu;2034;2019;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2020;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2021;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2022;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2023;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2024;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2025;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2026;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2027;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2028;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2029;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2030;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2031;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2032;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2033;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2034;2034;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;9999;hoito;1;0;0;0;0;0;0
kasvu;2035;1920;hoito;1;0;0;0;0;0;0
kasvu;2035;1929;hoito;0.92;0.06;0;0;0;0;0.01
kasvu;2035;1939;hoito;0.91;0.06;0;0.03;0;0;0
kasvu;2035;1949;hoito;1;0;0;0;0;0;0
kasvu;2035;1959;hoito;0.88;0.12;0;0;0;0;0
kasvu;2035;1969;hoito;1;0;0;0;0;0;0
kasvu;2035;1979;hoito;0.9;0.1;0;0;0;0;0
kasvu;2035;1989;hoito;0.99;0;0;0.01;0;0;0
kasvu;2035;1999;hoito;0.92;0.07;0;0.01;0;0;0
kasvu;2035;2009;hoito;0.9;0.02;0;0.07;0;0;0.01
kasvu;2035;2010;hoito;0.92;0;0;0.02;0;0.06;0
kasvu;2035;2018;hoito;0.93;0;0;0;0;0;0.07
kasvu;2035;2019;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2020;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2021;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2022;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2023;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2024;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2025;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2026;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2027;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2028;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2029;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2030;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2031;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2032;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2033;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2034;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2035;2035;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;9999;hoito;1;0;0;0;0;0;0
kasvu;2036;1920;hoito;1;0;0;0;0;0;0
kasvu;2036;1929;hoito;0.92;0.06;0;0;0;0;0.01
kasvu;2036;1939;hoito;0.91;0.06;0;0.03;0;0;0
kasvu;2036;1949;hoito;1;0;0;0;0;0;0
kasvu;2036;1959;hoito;0.88;0.12;0;0;0;0;0
kasvu;2036;1969;hoito;1;0;0;0;0;0;0
kasvu;2036;1979;hoito;0.9;0.1;0;0;0;0;0
kasvu;2036;1989;hoito;0.99;0;0;0.01;0;0;0
kasvu;2036;1999;hoito;0.92;0.07;0;0.01;0;0;0
kasvu;2036;2009;hoito;0.9;0.02;0;0.07;0;0;0.01
kasvu;2036;2010;hoito;0.92;0;0;0.02;0;0.06;0
kasvu;2036;2018;hoito;0.93;0;0;0;0;0;0.07
kasvu;2036;2019;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2020;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2021;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2022;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2023;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2024;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2025;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2026;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2027;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2028;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2029;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2030;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2031;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2032;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2033;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2034;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2035;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2036;2036;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;9999;hoito;1;0;0;0;0;0;0
kasvu;2037;1920;hoito;1;0;0;0;0;0;0
kasvu;2037;1929;hoito;0.92;0.06;0;0;0;0;0.01
kasvu;2037;1939;hoito;0.91;0.06;0;0.03;0;0;0
kasvu;2037;1949;hoito;1;0;0;0;0;0;0
kasvu;2037;1959;hoito;0.88;0.12;0;0;0;0;0
kasvu;2037;1969;hoito;1;0;0;0;0;0;0
kasvu;2037;1979;hoito;0.9;0.1;0;0;0;0;0
kasvu;2037;1989;hoito;0.99;0;0;0.01;0;0;0
kasvu;2037;1999;hoito;0.92;0.07;0;0.01;0;0;0
kasvu;2037;2009;hoito;0.9;0.02;0;0.07;0;0;0.01
kasvu;2037;2010;hoito;0.92;0;0;0.02;0;0.06;0
kasvu;2037;2018;hoito;0.93;0;0;0;0;0;0.07
kasvu;2037;2019;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2020;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2021;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2022;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2023;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2024;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2025;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2026;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2027;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2028;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2029;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2030;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2031;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2032;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2033;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2034;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2035;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2036;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2037;2037;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;9999;hoito;1;0;0;0;0;0;0
kasvu;2038;1920;hoito;1;0;0;0;0;0;0
kasvu;2038;1929;hoito;0.92;0.06;0;0;0;0;0.01
kasvu;2038;1939;hoito;0.91;0.06;0;0.03;0;0;0
kasvu;2038;1949;hoito;1;0;0;0;0;0;0
kasvu;2038;1959;hoito;0.88;0.12;0;0;0;0;0
kasvu;2038;1969;hoito;1;0;0;0;0;0;0
kasvu;2038;1979;hoito;0.9;0.1;0;0;0;0;0
kasvu;2038;1989;hoito;0.99;0;0;0.01;0;0;0
kasvu;2038;1999;hoito;0.92;0.07;0;0.01;0;0;0
kasvu;2038;2009;hoito;0.9;0.02;0;0.07;0;0;0.01
kasvu;2038;2010;hoito;0.92;0;0;0.02;0;0.06;0
kasvu;2038;2018;hoito;0.93;0;0;0;0;0;0.07
kasvu;2038;2019;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2020;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2021;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2022;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2023;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2024;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2025;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2026;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2027;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2028;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2029;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2030;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2031;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2032;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2033;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2034;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2035;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2036;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2037;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2038;2038;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;9999;hoito;1;0;0;0;0;0;0
kasvu;2039;1920;hoito;1;0;0;0;0;0;0
kasvu;2039;1929;hoito;0.92;0.06;0;0;0;0;0.01
kasvu;2039;1939;hoito;0.91;0.06;0;0.03;0;0;0
kasvu;2039;1949;hoito;1;0;0;0;0;0;0
kasvu;2039;1959;hoito;0.88;0.12;0;0;0;0;0
kasvu;2039;1969;hoito;1;0;0;0;0;0;0
kasvu;2039;1979;hoito;0.9;0.1;0;0;0;0;0
kasvu;2039;1989;hoito;0.99;0;0;0.01;0;0;0
kasvu;2039;1999;hoito;0.92;0.07;0;0.01;0;0;0
kasvu;2039;2009;hoito;0.9;0.02;0;0.07;0;0;0.01
kasvu;2039;2010;hoito;0.92;0;0;0.02;0;0.06;0
kasvu;2039;2018;hoito;0.93;0;0;0;0;0;0.07
kasvu;2039;2019;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2020;hoito;0.9;0;0;0.05;0;0.05;0
