scenario;year;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
kasvu;2040;11993;11620;12417;10581;12471;11242;12471;12471;12471;9920;8597;10581
kasvu;2041;11398;11044;11801;10057;11852;10685;11852;11852;11852;9428;8171;10057
kasvu;2042;10804;10468;11185;9532;11234;10128;11234;11234;11234;8936;7745;9532
kasvu;2043;10227;9910;10589;9024;10635;9588;10635;10635;10635;8460;7332;9024
kasvu;2044;9654;9354;9995;8518;10039;9050;10039;10039;10039;7985;6920;8518
kasvu;2045;9068;8786;9388;8000;9429;8500;9429;9429;9429;7500;6500;8000
kasvu;2046;8523;8258;8824;7519;8862;7989;8862;8862;8862;7049;6110;7519
kasvu;2047;7943;7697;8224;7008;8260;7446;8260;8260;8260;6570;5694;7008
kasvu;2048;7392;7162;7653;6522;7687;6930;7687;7687;7687;6114;5299;6522
kasvu;2049;6844;6632;7086;6039;7117;6416;7117;7117;7117;5661;4906;6039
kasvu;2050;6300;6105;6523;5559;6551;5906;6551;6551;6551;5211;4516;5559
muutos;2018;29633;28713;30680;26145;30813;27779;30813;30813;30813;24511;21243;26145
muutos;2019;28763;27870;29780;25378;29909;26964;29909;29909;29909;23792;20619;25378
muutos;2020;28136;27262;29130;24824;29257;26376;29257;29257;29257;23273;20170;24824
muutos;2021;27397;26546;28365;24172;28488;25683;28488;28488;28488;22661;19640;24172
muutos;2022;26495;25672;27431;23376;27551;24837;27551;27551;27551;21915;18993;23376
muutos;2023;25543;24750;26446;22536;26561;23945;26561;26561;26561;21128;18311;22536
muutos;2024;24594;23831;25464;21699;25574;23056;25574;25574;25574;20343;17631;21699
muutos;2025;23760;23022;24600;20963;24706;22273;24706;24706;24706;19653;17033;20963
muutos;2026;22826;22117;23632;20139;23735;21398;23735;23735;23735;18880;16363;20139
muutos;2027;21845;21167;22617;19274;22716;20478;22716;22716;22716;18069;15660;19274
muutos;2028;20980;20328;21721;18510;21816;19667;21816;21816;21816;17353;15039;18510
muutos;2029;20138;19513;20850;17768;20941;18878;20941;20941;20941;16657;14436;17768
muutos;2030;19341;18741;20025;17065;20112;18131;20112;20112;20112;15998;13865;17065
muutos;2031;18377;17806;19026;16213;19109;17227;19109;19109;19109;15200;13173;16213
muutos;2032;17437;16896;18053;15385;18132;16346;18132;18132;18132;14423;12500;15385
muutos;2033;16436;15926;17017;14501;17091;15408;17091;17091;17091;13595;11782;14501
muutos;2034;15473;14992;16020;13652;16089;14505;16089;16089;16089;12798;11092;13652
muutos;2035;14548;14096;15062;12835;15127;13638;15127;15127;15127;12033;10429;12835
