scenario;year;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
pysahdys;2038;707000;685000;403000;285000;17723;15977;18707;17723;18707;14098;12218;15038
pysahdys;2039;707000;685000;403000;285000;17059;15379;18006;17059;18006;13569;11760;14474
pysahdys;2040;707000;685000;403000;285000;16408;14792;17319;16408;17319;13052;11311;13922
pysahdys;2041;707000;685000;403000;285000;15761;14209;16637;15761;16637;12537;10866;13373
pysahdys;2042;707000;685000;403000;285000;15108;13620;15947;15108;15947;12017;10415;12819
pysahdys;2043;707000;685000;403000;285000;14506;13077;15312;14506;15312;11539;10000;12308
pysahdys;2044;707000;685000;403000;285000;13907;12537;14680;13907;14680;11062;9587;11800
pysahdys;2045;707000;685000;403000;285000;13273;11966;14010;13273;14010;10558;9150;11262
pysahdys;2046;707000;685000;403000;285000;12715;11462;13421;12715;13421;10114;8765;10788
pysahdys;2047;707000;685000;403000;285000;12075;10886;12746;12075;12746;9605;8325;10246
pysahdys;2048;707000;685000;403000;285000;11499;10367;12138;11499;12138;9147;7927;9757
pysahdys;2049;707000;685000;403000;285000;10925;9849;11532;10925;11532;8690;7531;9269
pysahdys;2050;707000;685000;403000;285000;10352;9333;10928;10352;10928;8235;7137;8784
