scenario;year;9999;1920;1929;1939;1949;1959;1969;1979;1989;1999;2009;2010
muutos;2042;1.15;1.15;1.15;1.15;1.15;1.15;1.3;1.3;1.3;1.13;1.15;1.15
muutos;2043;1.16;1.16;1.16;1.16;1.16;1.16;1.31;1.31;1.31;1.13;1.16;1.16
muutos;2044;1.17;1.17;1.17;1.17;1.17;1.17;1.33;1.33;1.33;1.14;1.17;1.17
muutos;2045;1.18;1.18;1.18;1.18;1.18;1.18;1.34;1.34;1.34;1.14;1.18;1.18
muutos;2046;1.18;1.18;1.18;1.18;1.18;1.18;1.36;1.36;1.36;1.15;1.18;1.18
muutos;2047;1.19;1.19;1.19;1.19;1.19;1.19;1.37;1.37;1.37;1.16;1.19;1.19
muutos;2048;1.2;1.2;1.2;1.2;1.2;1.2;1.39;1.39;1.39;1.16;1.2;1.2
muutos;2049;1.2;1.2;1.2;1.2;1.2;1.2;1.4;1.4;1.4;1.17;1.2;1.2
muutos;2050;1.21;1.21;1.21;1.21;1.21;1.21;1.42;1.42;1.42;1.17;1.21;1.21
saasto;2018;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2019;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2020;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2021;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2022;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2023;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2024;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2025;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2026;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2027;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2028;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2029;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2030;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2031;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2032;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2033;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2034;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2035;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2036;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2037;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2038;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2039;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2040;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2041;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2042;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2043;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2044;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2045;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2046;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2047;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2048;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2049;1;1;1;1;1;1;1;1;1;1;1;1
saasto;2050;1;1;1;1;1;1;1;1;1;1;1;1
pysahdys;2018;1;1;1;1;1;1;1;1;1;1;1;1
pysahdys;2019;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01
pysahdys;2020;1.01;1.01;1.01;1.01;1.01;1.01;1.02;1.02;1.02;1.01;1.01;1.01
pysahdys;2021;1.02;1.02;1.02;1.02;1.02;1.02;1.03;1.03;1.03;1.02;1.02;1.02
pysahdys;2022;1.02;1.02;1.02;1.02;1.02;1.02;1.04;1.04;1.04;1.02;1.02;1.02
pysahdys;2023;1.03;1.03;1.03;1.03;1.03;1.03;1.05;1.05;1.05;1.03;1.03;1.03
pysahdys;2024;1.03;1.03;1.03;1.03;1.03;1.03;1.06;1.06;1.06;1.03;1.03;1.03
pysahdys;2025;1.04;1.04;1.04;1.04;1.04;1.04;1.07;1.07;1.07;1.04;1.04;1.04
pysahdys;2026;1.04;1.04;1.04;1.04;1.04;1.04;1.08;1.08;1.08;1.04;1.04;1.04
pysahdys;2027;1.05;1.05;1.05;1.05;1.05;1.05;1.09;1.09;1.09;1.05;1.05;1.05
pysahdys;2028;1.05;1.05;1.05;1.05;1.05;1.05;1.1;1.1;1.1;1.05;1.05;1.05
pysahdys;2029;1.06;1.06;1.06;1.06;1.06;1.06;1.12;1.12;1.12;1.06;1.06;1.06
pysahdys;2030;1.06;1.06;1.06;1.06;1.06;1.06;1.13;1.13;1.13;1.06;1.06;1.06
pysahdys;2031;1.07;1.07;1.07;1.07;1.07;1.07;1.14;1.14;1.14;1.07;1.07;1.07
pysahdys;2032;1.07;1.07;1.07;1.07;1.07;1.07;1.15;1.15;1.15;1.07;1.07;1.07
pysahdys;2033;1.08;1.08;1.08;1.08;1.08;1.08;1.16;1.16;1.16;1.08;1.08;1.08
pysahdys;2034;1.08;1.08;1.08;1.08;1.08;1.08;1.17;1.17;1.17;1.08;1.08;1.08
pysahdys;2035;1.09;1.09;1.09;1.09;1.09;1.09;1.18;1.18;1.18;1.09;1.09;1.09
pysahdys;2036;1.09;1.09;1.09;1.09;1.09;1.09;1.2;1.2;1.2;1.09;1.09;1.09
pysahdys;2037;1.1;1.1;1.1;1.1;1.1;1.1;1.21;1.21;1.21;1.1;1.1;1.1
pysahdys;2038;1.1;1.1;1.1;1.1;1.1;1.1;1.22;1.22;1.22;1.1;1.1;1.1
pysahdys;2039;1.11;1.11;1.11;1.11;1.11;1.11;1.23;1.23;1.23;1.11;1.11;1.11
pysahdys;2040;1.12;1.12;1.12;1.12;1.12;1.12;1.24;1.24;1.24;1.12;1.12;1.12
pysahdys;2041;1.12;1.12;1.12;1.12;1.12;1.12;1.26;1.26;1.26;1.12;1.12;1.12
pysahdys;2042;1.13;1.13;1.13;1.13;1.13;1.13;1.27;1.27;1.27;1.13;1.13;1.13
pysahdys;2043;1.13;1.13;1.13;1.13;1.13;1.13;1.28;1.28;1.28;1.13;1.13;1.13
pysahdys;2044;1.14;1.14;1.14;1.14;1.14;1.14;1.3;1.3;1.3;1.14;1.14;1.14
pysahdys;2045;1.14;1.14;1.14;1.14;1.14;1.14;1.31;1.31;1.31;1.14;1.14;1.14
pysahdys;2046;1.15;1.15;1.15;1.15;1.15;1.15;1.32;1.32;1.32;1.15;1.15;1.15
pysahdys;2047;1.16;1.16;1.16;1.16;1.16;1.16;1.33;1.33;1.33;1.16;1.16;1.16
pysahdys;2048;1.16;1.16;1.16;1.16;1.16;1.16;1.35;1.35;1.35;1.16;1.16;1.16
pysahdys;2049;1.17;1.17;1.17;1.17;1.17;1.17;1.36;1.36;1.36;1.17;1.17;1.17
pysahdys;2050;1.17;1.17;1.17;1.17;1.17;1.17;1.37;1.37;1.37;1.17;1.17;1.17
