scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
weml;2034;pauto;0.92;0.86;0.86;0.95;0.31;0.00;0.33;0.12;0.00
weml;2034;kauto;2.30;2.09;1.99;1.79;2.51;2.51;1.25;1.57;0.00
weml;2035;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2035;bussi;1.94;1.94;1.76;1.98;1.95;1.95;0.65;0.65;0.00
weml;2035;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.81;0.00;0.00
weml;2035;hlauto;0.59;0.61;0.57;0.56;0.40;0.38;0.17;0.18;0.00
weml;2035;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.05
weml;2035;pauto;0.91;0.85;0.85;0.95;0.31;0.00;0.33;0.12;0.00
weml;2035;kauto;2.25;2.05;1.95;1.76;2.46;2.46;1.23;1.53;0.00
weml;2036;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2036;bussi;1.84;1.84;1.67;1.88;1.85;1.85;0.62;0.62;0.00
weml;2036;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.83;0.00;0.00
weml;2036;hlauto;0.59;0.62;0.57;0.56;0.40;0.38;0.17;0.18;0.00
weml;2036;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.03
weml;2036;pauto;0.91;0.84;0.84;0.95;0.31;0.00;0.33;0.12;0.00
weml;2036;kauto;2.21;2.01;1.91;1.72;2.40;2.40;1.20;1.50;0.00
weml;2037;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2037;bussi;1.75;1.75;1.60;1.79;1.77;1.77;0.59;0.59;0.00
weml;2037;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.85;0.00;0.00
weml;2037;hlauto;0.59;0.62;0.57;0.56;0.40;0.38;0.17;0.18;0.00
weml;2037;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.01
weml;2037;pauto;0.90;0.84;0.84;0.95;0.31;0.00;0.32;0.12;0.00
weml;2037;kauto;2.16;1.96;1.87;1.68;2.36;2.36;1.18;1.47;0.00
weml;2038;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2038;bussi;1.68;1.68;1.53;1.72;1.69;1.69;0.56;0.56;0.00
weml;2038;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.87;0.00;0.00
weml;2038;hlauto;0.59;0.62;0.57;0.56;0.40;0.39;0.17;0.18;0.00
weml;2038;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00
weml;2038;pauto;0.90;0.83;0.83;0.95;0.31;0.00;0.32;0.12;0.00
weml;2038;kauto;2.12;1.92;1.83;1.65;2.31;2.31;1.15;1.44;0.00
weml;2039;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2039;bussi;1.62;1.62;1.47;1.65;1.63;1.63;0.54;0.54;0.00
weml;2039;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.89;0.00;0.00
weml;2039;hlauto;0.58;0.62;0.57;0.56;0.40;0.39;0.17;0.18;0.00
weml;2039;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.98
weml;2039;pauto;0.89;0.82;0.82;0.95;0.31;0.00;0.32;0.12;0.00
weml;2039;kauto;2.08;1.89;1.80;1.62;2.26;2.26;1.13;1.41;0.00
weml;2040;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2040;bussi;1.56;1.56;1.42;1.59;1.57;1.57;0.52;0.52;0.00
weml;2040;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.91;0.00;0.00
weml;2040;hlauto;0.58;0.62;0.56;0.56;0.40;0.39;0.17;0.18;0.00
weml;2040;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.97
weml;2040;pauto;0.88;0.82;0.82;0.95;0.31;0.00;0.32;0.12;0.00
weml;2040;kauto;2.04;1.85;1.76;1.59;2.22;2.22;1.11;1.39;0.00
weml;2041;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2041;bussi;1.52;1.52;1.38;1.55;1.52;1.52;0.51;0.51;0.00
weml;2041;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.93;0.00;0.00
weml;2041;hlauto;0.58;0.62;0.56;0.56;0.40;0.39;0.17;0.18;0.00
weml;2041;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.95
weml;2041;pauto;0.88;0.81;0.81;0.94;0.31;0.00;0.32;0.12;0.00
weml;2041;kauto;2.00;1.82;1.73;1.56;2.18;2.18;1.09;1.36;0.00
weml;2042;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2042;bussi;1.48;1.48;1.35;1.51;1.49;1.49;0.50;0.50;0.00
weml;2042;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.95;0.00;0.00
weml;2042;hlauto;0.58;0.62;0.56;0.56;0.40;0.39;0.17;0.17;0.00
weml;2042;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.94
weml;2042;pauto;0.87;0.81;0.81;0.94;0.31;0.00;0.32;0.12;0.00
weml;2042;kauto;1.96;1.78;1.70;1.53;2.14;2.14;1.07;1.34;0.00
weml;2043;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2043;bussi;1.46;1.46;1.32;1.49;1.46;1.46;0.49;0.49;0.00
weml;2043;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.97;0.00;0.00
weml;2043;hlauto;0.58;0.62;0.56;0.56;0.40;0.39;0.18;0.17;0.00
weml;2043;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.93
weml;2043;pauto;0.87;0.80;0.80;0.94;0.31;0.00;0.32;0.12;0.00
weml;2043;kauto;1.93;1.75;1.67;1.50;2.10;2.10;1.05;1.31;0.00
weml;2044;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2044;bussi;1.44;1.44;1.31;1.47;1.45;1.45;0.48;0.48;0.00
weml;2044;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.99;0.00;0.00
weml;2044;hlauto;0.58;0.63;0.55;0.56;0.40;0.39;0.18;0.17;0.00
weml;2044;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.92
weml;2044;pauto;0.86;0.80;0.80;0.94;0.31;0.00;0.32;0.12;0.00
weml;2044;kauto;1.89;1.72;1.64;1.48;2.07;2.07;1.03;1.29;0.00
weml;2045;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2045;bussi;1.43;1.43;1.30;1.46;1.44;1.44;0.48;0.48;0.00
weml;2045;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.01;0.00;0.00
weml;2045;hlauto;0.58;0.63;0.55;0.56;0.40;0.39;0.18;0.17;0.00
weml;2045;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.91
weml;2045;pauto;0.86;0.79;0.79;0.94;0.31;0.00;0.32;0.12;0.00
weml;2045;kauto;1.86;1.69;1.61;1.45;2.03;2.03;1.02;1.27;0.00
weml;2046;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2046;bussi;1.42;1.42;1.30;1.46;1.43;1.43;0.48;0.48;0.00
weml;2046;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.03;0.00;0.00
weml;2046;hlauto;0.58;0.63;0.55;0.56;0.40;0.39;0.18;0.17;0.00
weml;2046;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.90
weml;2046;pauto;0.85;0.79;0.79;0.93;0.31;0.00;0.31;0.12;0.00
weml;2046;kauto;1.83;1.67;1.59;1.43;2.00;2.00;1.00;1.25;0.00
weml;2047;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2047;bussi;1.43;1.43;1.30;1.46;1.43;1.43;0.48;0.48;0.00
weml;2047;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.05;0.00;0.00
weml;2047;hlauto;0.58;0.63;0.54;0.57;0.40;0.39;0.18;0.17;0.00
weml;2047;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.89
weml;2047;pauto;0.85;0.78;0.78;0.93;0.31;0.00;0.31;0.12;0.00
weml;2047;kauto;1.81;1.64;1.56;1.41;1.97;1.97;0.98;1.23;0.00
weml;2048;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2048;bussi;1.43;1.43;1.30;1.46;1.44;1.44;0.48;0.48;0.00
weml;2048;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.07;0.00;0.00
weml;2048;hlauto;0.58;0.63;0.54;0.57;0.40;0.39;0.18;0.16;0.00
weml;2048;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.88
weml;2048;pauto;0.84;0.78;0.78;0.93;0.31;0.00;0.31;0.12;0.00
weml;2048;kauto;1.78;1.62;1.54;1.39;1.94;1.94;0.97;1.21;0.00
weml;2049;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2049;bussi;1.44;1.44;1.31;1.47;1.45;1.45;0.48;0.48;0.00
weml;2049;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.09;0.00;0.00
weml;2049;hlauto;0.57;0.63;0.54;0.57;0.40;0.39;0.18;0.16;0.00
weml;2049;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.88
weml;2049;pauto;0.84;0.77;0.77;0.92;0.31;0.00;0.31;0.12;0.00
weml;2049;kauto;1.75;1.59;1.52;1.37;1.91;1.91;0.96;1.19;0.00
weml;2050;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2050;bussi;1.45;1.45;1.32;1.48;1.46;1.46;0.49;0.49;0.00
weml;2050;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.12;0.00;0.00
weml;2050;hlauto;0.57;0.63;0.53;0.57;0.40;0.39;0.18;0.16;0.00
weml;2050;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.87
weml;2050;pauto;0.84;0.77;0.77;0.92;0.31;0.00;0.31;0.12;0.00
weml;2050;kauto;1.73;1.57;1.49;1.35;1.88;1.88;0.94;1.18;0.00
