scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
wemp;2034;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.79;0.00;0.00
wemp;2034;hlauto;0.59;0.61;0.57;0.56;0.40;0.38;0.17;0.19;0.00
wemp;2034;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.06
wemp;2034;pauto;0.92;0.86;0.86;0.95;0.31;0.00;0.33;0.12;0.00
wemp;2034;kauto;2.41;2.19;1.99;1.79;1.88;1.88;1.25;1.25;0.00
wemp;2035;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2035;bussi;1.94;1.94;1.76;1.98;1.95;1.95;0.65;0.65;0.00
wemp;2035;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.81;0.00;0.00
wemp;2035;hlauto;0.59;0.61;0.57;0.56;0.40;0.38;0.17;0.18;0.00
wemp;2035;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.04
wemp;2035;pauto;0.91;0.85;0.85;0.95;0.31;0.00;0.33;0.12;0.00
wemp;2035;kauto;2.36;2.15;1.95;1.76;1.84;1.84;1.23;1.23;0.00
wemp;2036;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2036;bussi;1.84;1.84;1.67;1.88;1.85;1.85;0.62;0.62;0.00
wemp;2036;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.83;0.00;0.00
wemp;2036;hlauto;0.59;0.62;0.57;0.56;0.40;0.38;0.17;0.18;0.00
wemp;2036;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.02
wemp;2036;pauto;0.91;0.84;0.84;0.95;0.31;0.00;0.33;0.12;0.00
wemp;2036;kauto;2.31;2.10;1.91;1.72;1.80;1.80;1.20;1.20;0.00
wemp;2037;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2037;bussi;1.75;1.75;1.60;1.79;1.77;1.77;0.59;0.59;0.00
wemp;2037;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.85;0.00;0.00
wemp;2037;hlauto;0.59;0.62;0.57;0.56;0.40;0.38;0.17;0.18;0.00
wemp;2037;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.01
wemp;2037;pauto;0.90;0.84;0.84;0.95;0.31;0.00;0.32;0.12;0.00
wemp;2037;kauto;2.26;2.06;1.87;1.68;1.77;1.77;1.18;1.18;0.00
wemp;2038;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2038;bussi;1.68;1.68;1.53;1.72;1.69;1.69;0.56;0.56;0.00
wemp;2038;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.87;0.00;0.00
wemp;2038;hlauto;0.59;0.62;0.57;0.56;0.40;0.39;0.17;0.18;0.00
wemp;2038;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.99
wemp;2038;pauto;0.90;0.83;0.83;0.95;0.31;0.00;0.32;0.12;0.00
wemp;2038;kauto;2.22;2.02;1.83;1.65;1.73;1.73;1.15;1.15;0.00
wemp;2039;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2039;bussi;1.62;1.62;1.47;1.65;1.63;1.63;0.54;0.54;0.00
wemp;2039;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.89;0.00;0.00
wemp;2039;hlauto;0.58;0.62;0.57;0.56;0.40;0.39;0.17;0.18;0.00
wemp;2039;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.98
wemp;2039;pauto;0.89;0.82;0.82;0.95;0.31;0.00;0.32;0.12;0.00
wemp;2039;kauto;2.17;1.98;1.80;1.62;1.70;1.70;1.13;1.13;0.00
wemp;2040;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2040;bussi;1.56;1.56;1.42;1.59;1.57;1.57;0.52;0.52;0.00
wemp;2040;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.91;0.00;0.00
