scenario;year;kmuoto;teoll_kaivos;teoll_elint;teoll_tekst;teoll_puu;teoll_paper;teoll_kemia;teoll_miner;teoll_mjalos;teoll_metal;teoll_kone;teoll_muu;teoll_energ;teoll_vesi;teoll_yhdysk;varast;teoll
muutos;2030;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;28;75
muutos;2030;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
muutos;2031;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;28;75
muutos;2031;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
muutos;2032;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;28;75
muutos;2032;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
muutos;2033;pauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;28;71
muutos;2033;kauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;48;71
muutos;2034;pauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;28;71
muutos;2034;kauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;47;71
muutos;2035;pauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;27;71
muutos;2035;kauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;47;71
muutos;2036;pauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;27;71
muutos;2036;kauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;47;71
muutos;2037;pauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;27;71
muutos;2037;kauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;47;71
muutos;2038;pauto;46;16;6;26;41;16;17;26;11;11;11;0;46;2;27;68
muutos;2038;kauto;46;16;6;26;41;16;17;26;11;11;11;0;46;2;47;68
muutos;2039;pauto;46;16;6;26;41;16;17;26;11;11;11;0;46;2;27;68
muutos;2039;kauto;46;16;6;26;41;16;17;26;11;11;11;0;46;2;46;68
muutos;2040;pauto;46;16;6;26;41;16;17;26;11;11;11;0;46;2;26;68
muutos;2040;kauto;46;16;6;26;41;16;17;26;11;11;11;0;46;2;46;68
muutos;2041;pauto;46;16;6;26;41;16;17;26;11;11;11;0;46;2;26;68
muutos;2041;kauto;46;16;6;26;41;16;17;26;11;11;11;0;46;2;46;68
muutos;2042;pauto;46;16;6;26;41;16;17;26;11;11;11;0;46;2;26;68
muutos;2042;kauto;46;16;6;26;41;16;17;26;11;11;11;0;46;2;46;68
muutos;2043;pauto;45;15;5;25;40;15;16;25;10;10;10;0;45;2;26;65
muutos;2043;kauto;45;15;5;25;40;15;16;25;10;10;10;0;45;2;46;65
muutos;2044;pauto;45;15;5;25;40;15;16;25;10;10;10;0;45;2;26;65
muutos;2044;kauto;45;15;5;25;40;15;16;25;10;10;10;0;45;2;45;65
muutos;2045;pauto;45;15;5;25;40;15;16;25;10;10;10;0;45;2;25;65
muutos;2045;kauto;45;15;5;25;40;15;16;25;10;10;10;0;45;2;45;65
muutos;2046;pauto;45;15;5;25;40;15;16;25;10;10;10;0;45;2;25;65
muutos;2046;kauto;45;15;5;25;40;15;16;25;10;10;10;0;45;2;45;65
muutos;2047;pauto;45;15;5;25;40;15;16;25;10;10;10;0;45;2;25;65
muutos;2047;kauto;45;15;5;25;40;15;16;25;10;10;10;0;45;2;45;65
muutos;2048;pauto;44;14;4;24;39;14;15;24;9;9;9;0;44;2;25;62
muutos;2048;kauto;44;14;4;24;39;14;15;24;9;9;9;0;44;2;45;62
muutos;2049;pauto;44;14;4;24;39;14;15;24;9;9;9;0;44;2;25;62
muutos;2049;kauto;44;14;4;24;39;14;15;24;9;9;9;0;44;2;44;62
muutos;2050;pauto;44;14;4;24;39;14;15;24;9;9;9;0;44;2;24;62
muutos;2050;kauto;44;14;4;24;39;14;15;24;9;9;9;0;44;2;44;62
saasto;2017;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
saasto;2017;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
saasto;2018;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
saasto;2018;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;51;81
saasto;2019;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
saasto;2019;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
saasto;2020;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
saasto;2020;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
saasto;2021;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
saasto;2021;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
