mun;scenario;year;rakv;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
980;wem;2025;2021;60;39;35;50;50;40;85;50;65;40;40;40
980;wem;2025;2022;59;39;35;50;50;40;85;50;65;40;40;40
980;wem;2025;2023;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2025;2024;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2025;2025;57;39;33;48;48;38;83;48;63;38;40;38
980;wem;2026;9999;129;119;104;159;134;85;219;124;144;109;124;85
980;wem;2026;1920;139;124;95;229;199;124;234;159;234;274;179;124
980;wem;2026;1929;143;133;94;227;198;128;237;158;232;257;168;128
980;wem;2026;1939;152;147;103;225;196;132;240;156;230;215;166;132
980;wem;2026;1949;153;158;105;220;196;134;239;153;229;162;153;134
980;wem;2026;1959;146;160;105;215;187;132;233;146;219;137;146;132
980;wem;2026;1969;148;144;108;175;130;103;189;121;166;126;153;103
980;wem;2026;1979;124;133;97;146;106;84;155;102;137;97;115;84
980;wem;2026;1989;112;112;89;145;107;84;154;98;135;98;112;84
980;wem;2026;1999;113;123;103;138;103;79;143;89;128;93;103;79
980;wem;2026;2009;120;105;100;125;95;70;125;75;115;85;90;70
980;wem;2026;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2026;2018;74;71;58;77;55;40;85;55;74;40;40;40
980;wem;2026;2019;65;45;40;55;55;40;85;55;70;40;40;40
980;wem;2026;2020;63;42;38;53;53;40;85;53;68;40;40;40
980;wem;2026;2021;60;39;35;50;50;40;85;50;65;40;40;40
980;wem;2026;2022;59;39;35;50;50;40;85;50;65;40;40;40
980;wem;2026;2023;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2026;2024;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2026;2025;57;39;33;48;48;38;83;48;63;38;40;38
980;wem;2026;2026;56;39;33;48;48;38;83;48;63;38;40;38
980;wem;2027;9999;129;119;104;159;134;85;219;124;144;109;124;85
980;wem;2027;1920;139;124;95;229;199;124;234;159;234;274;179;124
980;wem;2027;1929;143;133;94;227;197;128;237;158;232;257;168;128
980;wem;2027;1939;151;146;102;224;195;132;239;156;229;215;166;132
980;wem;2027;1949;153;157;105;219;195;133;238;153;229;162;153;133
980;wem;2027;1959;145;158;104;213;185;131;231;145;217;136;145;131
980;wem;2027;1969;147;143;107;174;129;102;187;120;165;125;151;102
980;wem;2027;1979;122;131;96;144;105;83;153;100;135;96;113;83
980;wem;2027;1989;111;111;88;143;106;83;153;97;134;97;111;83
980;wem;2027;1999;113;123;103;137;103;78;142;88;128;93;103;78
980;wem;2027;2009;120;105;100;125;95;70;125;75;115;85;90;70
980;wem;2027;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2027;2018;74;71;58;77;55;40;85;55;74;40;40;40
980;wem;2027;2019;65;45;40;55;55;40;85;55;70;40;40;40
980;wem;2027;2020;63;42;38;53;53;40;85;53;68;40;40;40
980;wem;2027;2021;60;39;35;50;50;40;85;50;65;40;40;40
980;wem;2027;2022;59;39;35;50;50;40;85;50;65;40;40;40
980;wem;2027;2023;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2027;2024;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2027;2025;57;39;33;48;48;38;83;48;63;38;40;38
980;wem;2027;2026;56;39;33;48;48;38;83;48;63;38;40;38
980;wem;2027;2027;55;38;33;47;47;37;82;47;62;37;39;37
980;wem;2028;9999;129;119;104;159;134;85;219;124;144;109;124;85
980;wem;2028;1920;139;124;94;229;199;124;234;159;234;273;179;124
980;wem;2028;1929;143;133;94;227;197;128;237;158;232;256;168;128
980;wem;2028;1939;151;146;102;224;195;131;238;156;229;214;165;131
980;wem;2028;1949;152;157;105;219;195;133;238;152;228;162;152;133
980;wem;2028;1959;143;157;103;210;184;130;228;143;215;134;143;130
980;wem;2028;1969;146;141;106;172;128;101;185;119;163;123;150;101
980;wem;2028;1979;120;129;95;142;103;82;150;99;133;95;112;82
980;wem;2028;1989;110;110;87;142;105;82;151;96;133;96;110;82
980;wem;2028;1999;113;122;103;137;103;78;142;88;127;93;103;78
980;wem;2028;2009;120;105;100;125;95;70;125;75;115;85;90;70
980;wem;2028;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2028;2018;74;71;58;77;55;40;85;55;74;40;40;40
980;wem;2028;2019;65;45;40;55;55;40;85;55;70;40;40;40
980;wem;2028;2020;63;42;38;53;53;40;85;53;68;40;40;40
980;wem;2028;2021;60;39;35;50;50;40;85;50;65;40;40;40
980;wem;2028;2022;59;39;35;50;50;40;85;50;65;40;40;40
980;wem;2028;2023;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2028;2024;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2028;2025;57;39;33;48;48;38;83;48;63;38;40;38
980;wem;2028;2026;56;39;33;48;48;38;83;48;63;38;40;38
980;wem;2028;2027;55;38;33;47;47;37;82;47;62;37;39;37
980;wem;2028;2028;54;38;32;47;47;37;82;47;62;37;38;37
980;wem;2029;9999;129;119;104;159;134;84;219;124;144;109;124;84
980;wem;2029;1920;139;124;94;229;199;124;234;159;234;273;179;124
980;wem;2029;1929;143;133;94;227;197;128;236;158;232;256;168;128
980;wem;2029;1939;150;146;102;223;194;131;238;155;228;213;165;131
980;wem;2029;1949;152;157;104;218;194;133;237;152;228;161;152;133
980;wem;2029;1959;142;155;102;208;182;129;226;142;213;133;142;129
980;wem;2029;1969;144;140;105;170;127;100;183;118;162;122;148;100
980;wem;2029;1979;119;127;93;140;102;80;148;97;131;93;110;80
980;wem;2029;1989;109;109;86;141;104;82;150;95;131;95;109;82
980;wem;2029;1999;112;122;103;137;103;78;142;88;127;93;103;78
980;wem;2029;2009;119;105;100;124;95;70;124;75;114;85;90;70
980;wem;2029;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2029;2018;74;71;58;77;55;40;85;55;74;40;40;40
980;wem;2029;2019;65;45;40;55;55;40;85;55;70;40;40;40
980;wem;2029;2020;63;42;38;53;53;40;85;53;68;40;40;40
980;wem;2029;2021;60;39;35;50;50;40;85;50;65;40;40;40
980;wem;2029;2022;59;39;35;50;50;40;85;50;65;40;40;40
980;wem;2029;2023;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2029;2024;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2029;2025;57;39;33;48;48;38;83;48;63;38;40;38
980;wem;2029;2026;56;39;33;48;48;38;83;48;63;38;40;38
980;wem;2029;2027;55;38;33;47;47;37;82;47;62;37;39;37
980;wem;2029;2028;54;38;32;47;47;37;82;47;62;37;38;37
980;wem;2029;2029;54;38;32;46;46;36;81;46;61;36;37;36
980;wem;2030;9999;129;119;104;159;134;84;219;124;144;109;124;84
980;wem;2030;1920;139;124;94;229;199;124;234;159;234;273;179;124
980;wem;2030;1929;143;133;94;226;197;128;236;158;231;256;167;128
980;wem;2030;1939;150;145;102;223;194;131;237;155;227;213;165;131
980;wem;2030;1949;151;156;104;218;194;132;237;151;227;161;151;132
980;wem;2030;1959;140;154;101;206;180;127;224;140;211;132;140;127
980;wem;2030;1969;143;138;104;169;125;99;182;117;160;121;147;99
980;wem;2030;1979;117;125;92;138;100;79;146;96;129;92;108;79
980;wem;2030;1989;108;108;85;139;103;81;148;94;130;94;108;81
980;wem;2030;1999;112;122;102;136;102;78;141;88;127;93;102;78
980;wem;2030;2009;119;104;100;124;95;70;124;75;114;85;90;70
980;wem;2030;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2030;2018;74;71;58;77;55;40;85;55;74;40;40;40
980;wem;2030;2019;65;45;40;55;55;40;85;55;70;40;40;40
980;wem;2030;2020;63;42;38;53;53;40;85;53;68;40;40;40
980;wem;2030;2021;60;39;35;50;50;40;85;50;65;40;40;40
980;wem;2030;2022;59;39;35;50;50;40;85;50;65;40;40;40
980;wem;2030;2023;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2030;2024;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2030;2025;57;39;33;48;48;38;83;48;63;38;40;38
980;wem;2030;2026;56;39;33;48;48;38;83;48;63;38;40;38
980;wem;2030;2027;55;38;33;47;47;37;82;47;62;37;39;37
980;wem;2030;2028;54;38;32;47;47;37;82;47;62;37;38;37
980;wem;2030;2029;54;38;32;46;46;36;81;46;61;36;37;36
980;wem;2030;2030;53;38;31;46;46;36;81;46;61;36;36;36
980;wem;2031;9999;129;119;104;159;134;84;219;124;144;109;124;84
980;wem;2031;1920;139;124;94;228;199;124;233;159;233;273;179;124
980;wem;2031;1929;143;133;94;226;197;128;236;157;231;256;167;128
980;wem;2031;1939;150;145;102;222;193;131;237;155;227;213;164;131
980;wem;2031;1949;151;156;104;217;194;132;236;151;227;160;151;132
980;wem;2031;1959;140;153;101;206;179;127;223;140;210;131;140;127
980;wem;2031;1969;141;137;103;167;124;98;180;116;158;120;145;98
980;wem;2031;1979;116;124;91;136;99;78;145;95;128;91;107;78
980;wem;2031;1989;106;106;84;137;102;80;146;93;128;93;106;80
980;wem;2031;1999;111;121;101;135;101;77;140;87;125;92;101;77
980;wem;2031;2009;119;104;99;124;94;69;124;74;114;84;89;69
980;wem;2031;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2031;2018;73;71;57;77;55;40;85;55;74;40;40;40
980;wem;2031;2019;65;45;40;55;55;40;85;55;70;40;40;40
980;wem;2031;2020;62;42;37;52;52;40;85;52;67;40;40;40
980;wem;2031;2021;60;39;35;50;50;40;85;50;65;40;40;40
980;wem;2031;2022;59;39;35;50;50;40;85;50;65;40;40;40
980;wem;2031;2023;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2031;2024;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2031;2025;57;39;33;48;48;38;83;48;63;38;40;38
980;wem;2031;2026;56;39;33;48;48;38;83;48;63;38;40;38
980;wem;2031;2027;55;38;33;47;47;37;82;47;62;37;39;37
980;wem;2031;2028;54;38;32;47;47;37;82;47;62;37;38;37
980;wem;2031;2029;54;38;32;46;46;36;81;46;61;36;37;36
