scenario;rakv;rakennus_tyyppi;sahko_kiinteisto_kwhm2
eu80;2025;askert;22
eu80;2025;liike;25
eu80;2025;tsto;20
eu80;2025;liiken;25
eu80;2025;hoito;35
eu80;2025;kokoon;25
eu80;2025;opetus;20
eu80;2025;teoll;0
eu80;2025;varast;0
eu80;2025;muut;25
eu80;2026;erpien;10
eu80;2026;rivita;20
eu80;2026;askert;22
eu80;2026;liike;25
eu80;2026;tsto;20
eu80;2026;liiken;25
eu80;2026;hoito;35
eu80;2026;kokoon;25
eu80;2026;opetus;20
eu80;2026;teoll;0
eu80;2026;varast;0
eu80;2026;muut;25
eu80;2027;erpien;10
eu80;2027;rivita;20
eu80;2027;askert;22
eu80;2027;liike;25
eu80;2027;tsto;20
eu80;2027;liiken;25
eu80;2027;hoito;35
eu80;2027;kokoon;25
eu80;2027;opetus;20
eu80;2027;teoll;0
eu80;2027;varast;0
eu80;2027;muut;25
eu80;2028;erpien;10
eu80;2028;rivita;20
eu80;2028;askert;22
eu80;2028;liike;25
eu80;2028;tsto;20
eu80;2028;liiken;25
eu80;2028;hoito;35
eu80;2028;kokoon;25
eu80;2028;opetus;20
eu80;2028;teoll;0
eu80;2028;varast;0
eu80;2028;muut;25
eu80;2029;erpien;10
eu80;2029;rivita;20
eu80;2029;askert;22
eu80;2029;liike;25
eu80;2029;tsto;20
eu80;2029;liiken;25
eu80;2029;hoito;35
eu80;2029;kokoon;25
eu80;2029;opetus;20
eu80;2029;teoll;0
eu80;2029;varast;0
eu80;2029;muut;25
eu80;2030;erpien;10
eu80;2030;rivita;20
eu80;2030;askert;22
eu80;2030;liike;25
eu80;2030;tsto;20
eu80;2030;liiken;25
eu80;2030;hoito;35
eu80;2030;kokoon;25
eu80;2030;opetus;20
eu80;2030;teoll;0
eu80;2030;varast;0
eu80;2030;muut;25
eu80;2031;erpien;10
eu80;2031;rivita;20
eu80;2031;askert;22
eu80;2031;liike;25
eu80;2031;tsto;20
eu80;2031;liiken;25
eu80;2031;hoito;35
eu80;2031;kokoon;25
eu80;2031;opetus;20
eu80;2031;teoll;0
eu80;2031;varast;0
eu80;2031;muut;25
eu80;2032;erpien;10
eu80;2032;rivita;20
eu80;2032;askert;22
eu80;2032;liike;25
eu80;2032;tsto;20
eu80;2032;liiken;25
eu80;2032;hoito;35
eu80;2032;kokoon;25
eu80;2032;opetus;20
eu80;2032;teoll;0
eu80;2032;varast;0
eu80;2032;muut;25
eu80;2033;erpien;10
eu80;2033;rivita;20
eu80;2033;askert;22
eu80;2033;liike;25
eu80;2033;tsto;20
eu80;2033;liiken;25
eu80;2033;hoito;35
eu80;2033;kokoon;25
eu80;2033;opetus;20
eu80;2033;teoll;0
eu80;2033;varast;0
eu80;2033;muut;25
eu80;2034;erpien;10
eu80;2034;rivita;20
eu80;2034;askert;22
eu80;2034;liike;25
eu80;2034;tsto;20
eu80;2034;liiken;25
eu80;2034;hoito;35
eu80;2034;kokoon;25
eu80;2034;opetus;20
eu80;2034;teoll;0
eu80;2034;varast;0
eu80;2034;muut;25
eu80;2035;erpien;10
eu80;2035;rivita;20
eu80;2035;askert;22
eu80;2035;liike;25
eu80;2035;tsto;20
eu80;2035;liiken;25
eu80;2035;hoito;35
eu80;2035;kokoon;25
eu80;2035;opetus;20
eu80;2035;teoll;0
eu80;2035;varast;0
eu80;2035;muut;25
eu80;2036;erpien;10
eu80;2036;rivita;20
eu80;2036;askert;22
eu80;2036;liike;25
eu80;2036;tsto;20
eu80;2036;liiken;25
eu80;2036;hoito;35
eu80;2036;kokoon;25
eu80;2036;opetus;20
eu80;2036;teoll;0
eu80;2036;varast;0
eu80;2036;muut;25
eu80;2037;erpien;10
eu80;2037;rivita;20
eu80;2037;askert;22
eu80;2037;liike;25
eu80;2037;tsto;20
eu80;2037;liiken;25
eu80;2037;hoito;35
eu80;2037;kokoon;25
eu80;2037;opetus;20
eu80;2037;teoll;0
eu80;2037;varast;0
eu80;2037;muut;25
eu80;2038;erpien;10
eu80;2038;rivita;20
eu80;2038;askert;22
eu80;2038;liike;25
eu80;2038;tsto;20
eu80;2038;liiken;25
eu80;2038;hoito;35
eu80;2038;kokoon;25
eu80;2038;opetus;20
eu80;2038;teoll;0
eu80;2038;varast;0
eu80;2038;muut;25
eu80;2039;erpien;10
eu80;2039;rivita;20
eu80;2039;askert;22
