mun;year;erpien;rivita;askert
980;2029;41.2977832668;38.4620238756;38.1360745296
980;2030;41.3184321648;38.4812548956;38.1551425668
980;2031;41.3390913768;38.5004955168;38.1742201296
980;2032;41.3597609244;38.5197457716;38.1933072396
980;2033;41.3804408076;38.5390056384;38.2124038968
980;2034;41.4011310264;38.5582751388;38.2315101012
980;2035;41.4218315916;38.5775542836;38.2506258528
980;2036;41.4425425032;38.596843062;38.2697511732
980;2037;41.463263772;38.6161414848;38.2888860408
980;2038;41.4839954088;38.635449552;38.308030488
980;2039;41.5047374028;38.6547672744;38.327184504
980;2040;41.5254897756;38.6740946628;38.3463480888
980;2041;41.5462525164;38.6934317064;38.365521264
980;2042;41.5670256468;38.7127784268;38.3847040296
980;2043;41.587809156;38.7321348132;38.4038963856
980;2044;41.6086030656;38.7515008764;38.423098332
980;2045;41.6294073648;38.7708766272;38.4423098796
980;2046;41.6502220644;38.7902620656;38.4615310284
980;2047;41.6710471752;38.8096572024;38.4807618
980;2048;41.6918826972;38.8290620268;38.5000021836
980;2049;41.7127286412;38.8484765604;38.5192521792
980;2050;41.7335850072;38.8679007924;38.5385118084
922;2017;47.12;43.896;43.524
922;2018;47.1559662;43.917948;43.545762
922;2019;47.17954418;43.939906974;43.5675348872
922;2020;47.2031339524;43.961876922;43.5893186492
922;2021;47.2267355172;43.9838578688;43.6111133108
922;2022;47.2503488868;44.0058497896;43.6329188596
922;2023;47.2739740612;44.0278527216;43.6547353204
922;2024;47.2976110528;44.04986664;43.6765626932
922;2025;47.3212598616;44.071891582;43.698400978
922;2026;47.3449204876;44.0939275228;43.7202501748
922;2027;47.3685929432;44.1159744872;43.742110296
922;2028;47.3922772408;44.1380324752;43.763981354
922;2029;47.4159733804;44.1601014868;43.7858633488
922;2030;47.4396813744;44.1821815468;43.8077562804
922;2031;47.4634012104;44.2042726304;43.8296601488
922;2032;47.4871329132;44.2263747748;43.8515749788
922;2033;47.5108764828;44.2484879552;43.8735007704
922;2034;47.5346319192;44.2706121964;43.8954375236
922;2035;47.5583992348;44.2927475108;43.9173852384
922;2036;47.5821784296;44.314893886;43.9393439396
922;2037;47.605969516;44.3370513344;43.9613136024
922;2038;47.6297725064;44.359219856;43.983294264
922;2039;47.6535873884;44.3813994632;44.005285912
922;2040;47.6774141868;44.4035901684;44.0272885464
922;2041;47.7012528892;44.4257919592;44.049302192
922;2042;47.7251035204;44.4480048604;44.0713268488
