scenario;rakv;rakennus_tyyppi;vesi_kwh_m2
wem;2038;liiken;2
wem;2038;hoito;26
wem;2038;kokoon;6
wem;2038;opetus;8
wem;2038;teoll;7
wem;2038;varast;4
wem;2038;muut;7
wem;2039;erpien;27
wem;2039;rivita;29
wem;2039;askert;26
wem;2039;liike;33
wem;2039;tsto;3
wem;2039;liiken;2
wem;2039;hoito;26
wem;2039;kokoon;6
wem;2039;opetus;8
wem;2039;teoll;7
wem;2039;varast;4
wem;2039;muut;7
wem;2040;erpien;27
wem;2040;rivita;29
wem;2040;askert;26
wem;2040;liike;33
wem;2040;tsto;3
wem;2040;liiken;2
wem;2040;hoito;26
wem;2040;kokoon;6
wem;2040;opetus;8
wem;2040;teoll;7
wem;2040;varast;4
wem;2040;muut;7
wem;2041;erpien;27
wem;2041;rivita;29
wem;2041;askert;26
wem;2041;liike;33
wem;2041;tsto;3
wem;2041;liiken;2
wem;2041;hoito;26
wem;2041;kokoon;6
wem;2041;opetus;8
wem;2041;teoll;7
wem;2041;varast;4
wem;2041;muut;7
wem;2042;erpien;27
wem;2042;rivita;29
wem;2042;askert;26
wem;2042;liike;33
wem;2042;tsto;3
wem;2042;liiken;2
wem;2042;hoito;26
wem;2042;kokoon;6
wem;2042;opetus;8
wem;2042;teoll;7
wem;2042;varast;4
wem;2042;muut;7
wem;2043;erpien;27
wem;2043;rivita;29
wem;2043;askert;26
wem;2043;liike;33
wem;2043;tsto;3
wem;2043;liiken;2
wem;2043;hoito;26
wem;2043;kokoon;6
wem;2043;opetus;8
wem;2043;teoll;7
wem;2043;varast;4
wem;2043;muut;7
wem;2044;erpien;27
wem;2044;rivita;29
wem;2044;askert;26
wem;2044;liike;33
wem;2044;tsto;3
wem;2044;liiken;2
wem;2044;hoito;26
wem;2044;kokoon;6
wem;2044;opetus;8
wem;2044;teoll;7
wem;2044;varast;4
wem;2044;muut;7
wem;2045;erpien;27
wem;2045;rivita;29
wem;2045;askert;26
wem;2045;liike;33
wem;2045;tsto;3
wem;2045;liiken;2
wem;2045;hoito;26
wem;2045;kokoon;6
wem;2045;opetus;8
wem;2045;teoll;7
wem;2045;varast;4
wem;2045;muut;7
wem;2046;erpien;27
wem;2046;rivita;29
wem;2046;askert;26
wem;2046;liike;33
wem;2046;tsto;3
wem;2046;liiken;2
wem;2046;hoito;26
wem;2046;kokoon;6
wem;2046;opetus;8
wem;2046;teoll;7
wem;2046;varast;4
wem;2046;muut;7
wem;2047;erpien;27
wem;2047;rivita;29
wem;2047;askert;26
wem;2047;liike;33
wem;2047;tsto;3
wem;2047;liiken;2
wem;2047;hoito;26
wem;2047;kokoon;6
wem;2047;opetus;8
wem;2047;teoll;7
wem;2047;varast;4
wem;2047;muut;7
wem;2048;erpien;27
wem;2048;rivita;29
wem;2048;askert;26
wem;2048;liike;33
wem;2048;tsto;3
